NOMBRE,SCHEDULE,ACCESIBILIDAD,ADDRESS,LOCALIDAD,CODIGO-POSTAL,LATITUD,LONGITUD,TELEFONO,EMAIL
Arte Público (Museo al Aire Libre de la Castellana),,1,PASEO CASTELLANA,MADRID,28046,40.433219398671156,-3.6876122680805956,917 011 863  / 915 782 722 (información en Museo de Historia),smuseosm@madrid.es
Banco de España,,0,CALLE ALCALA,MADRID,28014,40.4188339187439,-3.69482107480432,913 385 000 (centralita),sedeelectronica@bde.es
Basílica Pontificia de San Miguel,,0,CALLE SAN JUSTO,MADRID,28012,40.414176133786185,-3.7096713067224494,915 484 011,
Biblioteca Nacional de España,,0,PASEO RECOLETOS,MADRID,28001,40.42299290045965,-3.690844141741069,"915 807 800                                                                 
                                                                 
",acceso@bne.es
Bolsa de Madrid,,0,PLAZA LEALTAD,MADRID,28014,40.41687675488164,-3.692184230357612,"917 095 000 (Bolsas y mercados españoles, centralita)     
915 891 162 / 915 891 020 (Visitas)          
915 891 659 (Atención al inversor)   
",info@bolsamadrid.es
Casa de América,,1,PLAZA CIBELES,MADRID,28014,40.419749969504096,-3.6922961903054348,915 954 800 (información) / 915 775 955 (reservas para el restaurante),
Casa de Cisneros,,0,PLAZA VILLA,MADRID,28005,40.41490075227339,-3.7105039839947347,915 882 900,
Casa de La Panadería,,0,PLAZA MAYOR,MADRID,28012,40.41583855082183,-3.7074257084323636,,
Casa de La Villa. Casas Consistoriales del Ayuntamiento de Madrid,,0,PLAZA VILLA,MADRID,28005,40.41518829867041,-3.7106248754622504,91 588 10 00,
Casa de Las Siete Chimeneas,,0,PLAZA REY,MADRID,28004,40.42020264263883,-3.6964264776282376,,
Casa de Velázquez,,0,CALLE PAUL GUINARD,MADRID,28040,40.441004632294984,-3.729986585991103,914 551 580,
Casa Gallardo,,0,CALLE FERRAZ,MADRID,28008,40.42313906088499,-3.7142331718938713,S/T,
Casa Ruiz de Velasco,,0,CALLE MAYOR,MADRID,28013,40.41635483593255,-3.705498066513785,S/T,
Casón del Buen Retiro,"  Mañanas    De lunes a jueves, de 9 a 15 horas. (Servicio de libros y otros materiales hasta las 14:30 horas)   Viernes, de 9 a 14:30 horas. (Servicio de libros y otros materiales hasta las 14 horas)     Tardes.  Lunes y miércoles, de 15 a 18 horas. (Servicio de libros y otros materiales hasta las 17:30 horas)   Horario de verano     Desde el 16 de junio al 15 de septiembre  Lunes a viernes, de 9 a 14:30 horas   ",0,CALLE ALFONSO XII,MADRID,28014,40.415263749471535,-3.689232811717636,902 107 077,biblioteca@museodelprado.es
Castillo de la Alameda,"  De abril a septiembre: sábados, domingos y festivos de 10 a 21 horas  De octubre a marzo: sábados, domingos y festivos de 10 a 18 horas  Cerrado los días 1 de enero, 1 de mayo y 25 de diciembre  ",0,CALLE ANTONIO SANCHA,MADRID,28042,40.45835460563491,-3.5932903820278788,"913 667 415                                     
",castilloalameda@madrid.es
Catedral Santa María la Real de la Almudena,,0,CALLE BAILEN,MADRID,28013,40.415538770017406,-3.7136931154460564,915 422 200,
Centro Conde Duque,  Exposiciones (entrada gratuita)    De martes a sábado de 10 a 14 y de 17:30 a 21 horas.  Domingos y festivos de 10:30 a 14 horas.  ,1,CALLE CONDE DUQUE,MADRID,28015,40.427938443518215,-3.710240346719518,,
