NOMBRE,SCHEDULE,ACCESIBILIDAD,ADDRESS,LOCALIDAD,CODIGO-POSTAL,LATITUD,LONGITUD,TELEFONO,EMAIL
Arte Público (Museo al Aire Libre de la Castellana),,1,PASEO CASTELLANA,MADRID,28046,40.433219398671156,-3.6876122680805956,917 011 863  / 915 782 722 (información en Museo de Historia),smuseosm@madrid.es
Casa - Museo del Ratoncito Pérez,"  Lunes  de 17 a 20 horas.  De martes a viernes de 11 a 14 horas y de 17 a 20 horas.  Sábados de 11 a 15 horas y de 16 a 20 horas (horario orientativo, consultar disponiblidad en la  web del Museo ).  Domingos y festivos de 12 a 18 horas.  ",0,CALLE ARENAL,MADRID,28013,40.41704834412296,-3.7055288844865233,915 226 968,
Casa Museo Lope de Vega," Para la visita es  imprescindible reserva anticipada  en:  casamuseolopedevega@madrid.org  o en el teléfono: 914 299 216, en horario del museo   De martes a domingo de 10 a 15 horas. Última visita a las 14 horas.  Cerrado los lunes, días 1 y 6 de enero, 5 de abril, 1 de mayo y 24, 25 y 31 de diciembre y dos festivos locales.  Este horario puede sufrir alteraciones por actividades extraordinarias que se celebran en este espacio. ",0,CALLE CERVANTES,MADRID,28014,40.414358466555235,-3.6974741545860015,914 299 216,casamuseolopedevega@madrid.org
Castillo de la Alameda,"  De abril a septiembre: sábados, domingos y festivos de 10 a 21 horas  De octubre a marzo: sábados, domingos y festivos de 10 a 18 horas  Cerrado los días 1 de enero, 1 de mayo y 25 de diciembre  ",0,CALLE ANTONIO SANCHA,MADRID,28042,40.45835460563491,-3.5932903820278788,"913 667 415                                     
",castilloalameda@madrid.es
Casón del Buen Retiro,"  Mañanas    De lunes a jueves, de 9 a 15 horas. (Servicio de libros y otros materiales hasta las 14:30 horas)   Viernes, de 9 a 14:30 horas. (Servicio de libros y otros materiales hasta las 14 horas)     Tardes.  Lunes y miércoles, de 15 a 18 horas. (Servicio de libros y otros materiales hasta las 17:30 horas)   Horario de verano     Desde el 16 de junio al 15 de septiembre  Lunes a viernes, de 9 a 14:30 horas   ",0,CALLE ALFONSO XII,MADRID,28014,40.415263749471535,-3.689232811717636,902 107 077,biblioteca@museodelprado.es
Centro Social y Cultural la Casa Encendida,"  De lunes a domingo de 10 a 22 horas (todos los días del año, excepto festividades nacionales y de la Comunidad de Madrid)  Exposiciones: de 10 a 21:45 horas  ",1,RONDA VALENCIA,MADRID,28012,40.40595710517701,-3.699779793558763,"902 430 322                                 
",casaencendida@cajamadrid.es
Claustro de San Jerónimo el Real (Los Jerónimos),,0,CALLE MORETO,MADRID,28014,40.414346084679714,-3.6905317543061407,"91 420 35 78&#13;
",
Ermita de San Antonio de la Florida (Museo),"  De martes a domingos y festivos de 9:30 a 20 horas.   Cerrado  los lunes, incluidos festivos y días 1 de enero, 1 de mayo y 25 de diciembre.   Último pase de visita:  20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes)   Por motivos de conservación, el aforo máximo es de 50 personas en el interior de la capilla.  Este horario y la apertura de salas pueden sufrir modificaciones, por favor, confírmelo en el teléfono de información del museo.  ",0,GLORIETA SAN ANTONIO DE LA FLORIDA,MADRID,28008,40.425256682855846,-3.725725718176111,"915 420 722 / 917 011 863                                                                                        
",sanantonio@madrid.es
Espacio Fundación Telefónica," De martes a domingo, de 10 a 20 horas.  Cerrado al público todos los lunes y los festivos 25 de diciembre y días 1 y 6 de enero. ",1,CALLE FUENCARRAL,MADRID,28004,40.42041458612889,-3.7016034186955076,915 808 700 (información general),
Fundación AMYC (Arte Moderno y Contemporáneo). Casa - Museo Fuente del Rey, De lunes a viernes de 10 a 19 horas. Sábados y domingos cerrado.   Visitas  guiadas y concertadas con cita previa. ,0,CALLE FUENTE DEL REY,MADRID,28023,40.45546180290319,-3.7705836264842576,913 579 116,info@fundacionamyc.org
