NAME,TYPE,COORDINATES,SCHEDULE,ADDRESS,LOCALITY,POSTALCODE,TELEPHONE,EMAIL,ACCESSIBILITY
Arte Público (Museo al Aire Libre de la Castellana),Monumentos.csv,"40.433219398671156, -3.6876122680805956",,Paseo Castellana,Madrid,28046,917 011 863  / 915 782 722 (información en Museo de Historia),smuseosm@madrid.es,1
Banco de España,Monumentos.csv,"40.4188339187439, -3.69482107480432",,Calle Alcala,Madrid,28014,913 385 000 (centralita),sedeelectronica@bde.es,0
Basílica Pontificia de San Miguel,Monumentos.csv,"40.414176133786185, -3.7096713067224494",,Calle San Justo,Madrid,28012,915 484 011,,0
Biblioteca Nacional de España,Monumentos.csv,"40.42299290045965, -3.690844141741069",,Paseo Recoletos,Madrid,28001,"915 807 800                                                                 
                                                                 
",acceso@bne.es,0
Bolsa de Madrid,Monumentos.csv,"40.41687675488164, -3.692184230357612",,Plaza Lealtad,Madrid,28014,"917 095 000 (Bolsas y mercados españoles, centralita)     
915 891 162 / 915 891 020 (Visitas)          
915 891 659 (Atención al inversor)   
",info@bolsamadrid.es,0
Casa de América,Monumentos.csv,"40.419749969504096, -3.6922961903054348",,Plaza Cibeles,Madrid,28014,915 954 800 (información) / 915 775 955 (reservas para el restaurante),,1
Casa de Cisneros,Monumentos.csv,"40.41490075227339, -3.7105039839947347",,Plaza Villa,Madrid,28005,915 882 900,,0
Casa de La Panadería,Monumentos.csv,"40.41583855082183, -3.7074257084323636",,Plaza Mayor,Madrid,28012,,,0
Casa de La Villa. Casas Consistoriales del Ayuntamiento de Madrid,Monumentos.csv,"40.41518829867041, -3.7106248754622504",,Plaza Villa,Madrid,28005,91 588 10 00,,0
Casa de Las Siete Chimeneas,Monumentos.csv,"40.42020264263883, -3.6964264776282376",,Plaza Rey,Madrid,28004,,,0
Casa de Velázquez,Monumentos.csv,"40.441004632294984, -3.729986585991103",,Calle Paul Guinard,Madrid,28040,914 551 580,,0
Casa Gallardo,Monumentos.csv,"40.42313906088499, -3.7142331718938713",,Calle Ferraz,Madrid,28008,S/T,,0
Casa Ruiz de Velasco,Monumentos.csv,"40.41635483593255, -3.705498066513785",,Calle Mayor,Madrid,28013,S/T,,0
Casón del Buen Retiro,Monumentos.csv,"40.415263749471535, -3.689232811717636","  Mañanas    De lunes a jueves, de 9 a 15 horas. (Servicio de libros y otros materiales hasta las 14:30 horas)   Viernes, de 9 a 14:30 horas. (Servicio de libros y otros materiales hasta las 14 horas)     Tardes.  Lunes y miércoles, de 15 a 18 horas. (Servicio de libros y otros materiales hasta las 17:30 horas)   Horario de verano     Desde el 16 de junio al 15 de septiembre  Lunes a viernes, de 9 a 14:30 horas   ",Calle Alfonso Xii,Madrid,28014,902 107 077,biblioteca@museodelprado.es,0
Castillo de la Alameda,Monumentos.csv,"40.45835460563491, -3.5932903820278788","  De abril a septiembre: sábados, domingos y festivos de 10 a 21 horas  De octubre a marzo: sábados, domingos y festivos de 10 a 18 horas  Cerrado los días 1 de enero, 1 de mayo y 25 de diciembre  ",Calle Antonio Sancha,Madrid,28042,"913 667 415                                     
",castilloalameda@madrid.es,0
Catedral Santa María la Real de la Almudena,Monumentos.csv,"40.415538770017406, -3.7136931154460564",,Calle Bailen,Madrid,28013,915 422 200,,0
Centro Conde Duque,Monumentos.csv,"40.427938443518215, -3.710240346719518",  Exposiciones (entrada gratuita)    De martes a sábado de 10 a 14 y de 17:30 a 21 horas.  Domingos y festivos de 10:30 a 14 horas.  ,Calle Conde Duque,Madrid,28015,,,1
Centro de Estudios Políticos y Constitucionales,Monumentos.csv,"40.42062746021054, -3.712462039050617",De lunes a viernes de 9 a 14 horas,Plaza Marina Española,Madrid,28013,915 401 950,cepc@cepc.es,0
Centro Social y Cultural la Casa Encendida,Monumentos.csv,"40.40595710517701, -3.699779793558763","  De lunes a domingo de 10 a 22 horas (todos los días del año, excepto festividades nacionales y de la Comunidad de Madrid)  Exposiciones: de 10 a 21:45 horas  ",Ronda Valencia,Madrid,28012,"902 430 322                                 
",casaencendida@cajamadrid.es,1
Círculo de Bellas Artes,Monumentos.csv,"40.418417756198565, -3.6966084554513072",   Administración : de lunes a viernes de 9 a 14 horas y de 15 a 18 horas.   Salas de exposiciones:  de martes a sábados de 11 a 14 y de 17 a 21 y domingos de 11 a 14 horas.   Biblioteca:  de lunes a domingo de 9 a 22 horas.   Cafetería:  de 9 a 1 y viernes y sábados hasta las 3 horas.   Visitas a la azotea:  de 11 a 15 y de 16 a 21 (horario sujeto a cambios).  ,Calle Alcala,Madrid,28014,"913 605 400 (Información general)                                    
",info@circulobellasartes.com,1
Claustro de San Jerónimo el Real (Los Jerónimos),Monumentos.csv,"40.414346084679714, -3.6905317543061407",,Calle Moreto,Madrid,28014,"91 420 35 78&#13;
",,0
Congreso de los Diputados,Monumentos.csv,"40.4167808804755, -3.7021078717452145",,Carrera San Jeronimo,Madrid,28014,913 906 296,informacion@congreso.es,1
Consejo de Estado,Monumentos.csv,"40.4149668099875, -3.7129445136801347",,Calle Mayor,Madrid,28013,915 166 240 / 915 166 241 (asuntos en tramitación),consultas@consejo-estado.es,0
Convento de las Comendadoras de Santiago,Monumentos.csv,"40.4273968151307, -3.708949668437218",,Plaza Comendadoras,Madrid,28015,91 548 18 42,,0
Edificio España,Monumentos.csv,"40.42313245069324, -3.7109206552237386",,Plaza España,Madrid,28008,S/T,,0
Ermita de San Antonio de la Florida (Museo),Monumentos.csv,"40.425256682855846, -3.725725718176111","  De martes a domingos y festivos de 9:30 a 20 horas.   Cerrado  los lunes, incluidos festivos y días 1 de enero, 1 de mayo y 25 de diciembre.   Último pase de visita:  20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes)   Por motivos de conservación, el aforo máximo es de 50 personas en el interior de la capilla.  Este horario y la apertura de salas pueden sufrir modificaciones, por favor, confírmelo en el teléfono de información del museo.  ",Glorieta San Antonio De La Florida,Madrid,28008,"915 420 722 / 917 011 863                                                                                        
",sanantonio@madrid.es,0
Ermita de Santa María la Antigua,Monumentos.csv,"40.380299379931614, -3.741676977905724",,Calle Monseñor Oscar Romero,Madrid,28025,914 628 536 (Parroquia de San Sebastián Mártir),,0
Ermita Virgen del Puerto,Monumentos.csv,"40.415529465212515, -3.7210007944369834",,Paseo Virgen Del Puerto,Madrid,28005,,,0
Estación Ferroviaria Madrid Puerta de Atocha,Monumentos.csv,"40.409567615732286, -3.692651480759636"," Horario de la estación: de 5 a 1 horas  Horario de atención al cliente: de 6:30 a 22:30 horas  Horario de información: de 6:30 a 22:30 horas  Venta inmediata de billetes: de 5:30 a 22:30 horas  Venta anticipada de billetes: de Lunes a Viernes, excepto festivos: de 10 a 20 horas  Horario recogida Venta Telefónica: de 5:30 a 22:30 horas  Máquinas autoventa multiproducto: de 5:30 a 23:50 horas  Horario consignas: de 5:30 a 22:20 horas ",Plaza Emperador Carlos V,Madrid,28012,"902 432 343 (Información de estaciones) /                      
902 320 320 (Renfe: información, reserva, venta, cambio y anulación de billetes) /                      
902 240 505 (Viajeros con discapacidad) ",,1
Filmoteca Española,Monumentos.csv,"40.41231195969282, -3.7021792836496275", Biblioteca: de lunes a viernes de 9:30 a 14 horas ,Calle Magdalena,Madrid,28012,914 672 600,filmoteca@mcu.es,0
Fundación de la Cámara de Comercio e Industria de Madrid,Monumentos.csv,"40.413979743685495, -3.700511154527751",,Calle Huertas,Madrid,28012,,,0
Fundación de los Ferrocarriles Españoles (Palacio de Fernán Núñez),Monumentos.csv,"40.40981202127939, -3.6969557849817534",,Calle Santa Isabel,Madrid,28012,"915 276 172      
",fugeu01@ffe.es,0
Galeria de Cristal del Palacio de Cibeles,Monumentos.csv,"40.418291440980205, -3.69213979278398", Domingos y festivos de 10 a 20 horas ,Calle Montalban,Madrid,28014,915 132 689,eventos.palaciodecibeles@madridarteycultura.es ,0
Iglesia Arzobispal Castrense,Monumentos.csv,"40.414889947123754, -3.7122600779776733",,Calle Sacramento,Madrid,28005,915 473 524,,0
Iglesia Corpus Christi (Jerónimas Recoletas),Monumentos.csv,"40.41481486646874, -3.7098194568632374",,Plaza Conde De Miranda,Madrid,28005,915 483 701,,0
Iglesia de las Calatravas (Concepción Real de Calatrava),Monumentos.csv,"40.418196333786035, -3.698963613858259",,Calle Alcala,Madrid,28014,915 218 035,,0
Iglesia Madres Redentoristas,Monumentos.csv,"40.37319952563821, -3.755699003858804",,Calle Madre Celeste,Madrid,28044,915 086 800,,0
Iglesia Monasterio de San Plácido,Monumentos.csv,"40.42281129334709, -3.704516383221761",,Calle San Roque,Madrid,28004,915 317 999,,0
Iglesia San Antonio de los Alemanes,Monumentos.csv,"40.42195996338601, -3.7022913826706088",,Calle Puebla,Madrid,28004,915 223 774,,0
Iglesia San Ildefonso (Monasterio de las Trinitarias Descalzas),Monumentos.csv,"40.41367254153843, -3.6976792276700987",,Calle Lope De Vega,Madrid,28014,914 295 671,,0
Iglesia San Pedro el Viejo,Monumentos.csv,"40.41320112124687, -3.71000286701288",,Calle Nuncio,Madrid,28005,913 651 284,,0
