NOMBRE,SCHEDULE,ACCESIBILIDAD,ADDRESS,LOCALIDAD,CODIGO-POSTAL,LATITUD,LONGITUD,TELEFONO,EMAIL
Casa de Galicia,"   Atención al ciudadano:  de lunes a viernes de 9 a 14 horas    Oficina de Turismo:  de lunes a jueves de 9 a 14 horas y de 16 a 19 horas. Viernes, de 8 a 15 horas. Agosto de 9 a 14 horas de lunes a viernes   Exposiciones:  de lunes a sábado de 10 a 14 y de 16 a 20 horas. Domingos y festivos de 10 a 14 horas  ",0,CALLE CASADO DEL ALISAL,MADRID,28014,40.413841115871094,-3.6906090973201957,"915 954 200 (Centralita)      
915 954 214 (Turismo)",cii.oficinaturismo.madrid@xunta.es
Centro de Turismo Colón, De lunes a domingo de 9:30 a 20:30 horas ,1,PLAZA COLON,MADRID,28046,40.42500882822323,-3.6911948422827687,"914 544 410 (información turística y Programa de Visitas Guiadas Oficiales)                            
",turismo@esmadrid.com
Centro de Turismo Plaza Mayor, De lunes a domingo de 9:30 a 20:30 horas.  Venta de entradas para el Programa de Visitas Guiadas Oficiales en el Centro de turismo de lunes a domingo de 9:30 a 20:30 horas. ,1,PLAZA MAYOR,MADRID,28012,40.41583855082183,-3.7074257084323636,"914 544 410 (información turística y Programa Visitas Guiadas Oficiales)                                 
",turismo@esmadrid.com
Delegación de la Generalitat de Cataluña. Oficina de Turismo,De lunes a viernes de 10:30 a 15 y de 16 a 19:30 horas. ,0,CALLE ALCALA,MADRID,28014,40.4182053857487,-3.6959697554881874,"915 241 892 (Oficina de turismo)        
",turisme.blanquerna@gencat.cat
Delegación y Oficina de Turismo de la Región de Murcia,De  lunes a jueves de 11 a 14 y de 18 a 20 horas. Viernes de 10:30 a 14 horas.,0,COSTANILLA DE LOS ANGELES,MADRID,28013,40.41937461925095,-3.708158204262361,"915 427 130       
",casamadrid@murciaenmadrid.org
Oficina Central de Reservas e Información de la Comunidad de Madrid,De lunes a viernes de 9 a 14 horas,0,PASEO RECOLETOS,MADRID,28004,40.42078170853056,-3.693014026757309,912 767 478,
Oficina de Relaciones Institucionales del Gobierno de Canarias,De lunes a viernes de 9 a 15 horas,0,CALLE FERNANFLOR,MADRID,28014,40.41662861702532,-3.696000655612809,913 893 000,dlgmadrid.pg@gobiernodecanarias.org
Oficina de Turismo de Alemania,Consultar telefónicamente,0,CALLE SAN AGUSTIN,MADRID,28014,40.415145119026725,-3.6969990236222245,914 293 551,
Oficina de Turismo de Andorra,Consultar telefónicamente,0,CALLE ALCALA,MADRID,28009,40.420463872305014,-3.6873998628244578,914 317 453 ,
Oficina de Turismo de Argentina,Consultar telefónicamente,0,CALLE PRINCESA,MADRID,28008,40.4257710639095,-3.712551676224903,915 414 447,oficinamadrid@argentina.travel
Oficina de Turismo de Austria," De lunes a viernes de 9 a 17 horas  No disponen de oficina en Madrid, solo atienden por teléfono e internet ",0,- -,,,40.4241953857432,-3.712405377713949,902 999 432,informacion@austria.info
Oficina de Turismo de Baleares,,0,- -,,,,,,
Oficina de Turismo de Brasil,Consultar telefónicamente,0,CALLE ALMAGRO,MADRID,28010,40.43017960044132,-3.692768600492918,917 020 689,secom.madrid@itamaraty.gov.br
Oficina de Turismo de Castilla - León,Consultar horario.,0,CALLE ALCALÁ,MADRID,28009,40.42177018095319,-3.6828394778643716,915 780 324,oficinademadridfundacionsiglo@gmail.com
Oficina de Turismo de Ceuta,,0,- -,,,,,,turismo@ceuta.es
Oficina de Turismo de Chile,Consultar telefónicamente,0,CALLE VELAZQUEZ,MADRID,28001,40.42984738903388,-3.6834988415722334,914 357 834,prochilespain@prochile.gov.cl
Oficina de Turismo de China,Consultar telefónicamente,0,CALLE GRAN VIA,MADRID,28013,40.42009457178475,-3.7053367443046565,915 480 011,
Oficina de Turismo de Croacia,Consultar telefónicamente,0,CALLE CLAUDIO COELLO,MADRID,28001,40.423071040236564,-3.6868016346415553,917 815 514,info@visitacroacia.es
Oficina de Turismo de Cuba,Consultar telefónicamente,0,PASEO HABANA,MADRID,28036,40.4509737804771,-3.6864959795755223,914 113 097,info@descubracuba
Oficina de Turismo de Ecuador,Consultar telefónicamente,0,CALLE VELAZQUEZ,MADRID,28006,40.435786907325046,-3.6830637919224922,915 627 215,info@mecuador.es
Oficina de Turismo de Egipto,Consultar telefónicamente,0,CALLE GRAN VIA,MADRID,28013,40.423271055213334,-3.7103562860569252,915 592 121,es@egypt.travel
Oficina de Turismo de Finlandia,,0,- -,,,,,,
Oficina de Turismo de Francia,Consultar telefónicamente,0,CALLE SERRANO,MADRID,28001,40.42272987584036,-3.6881184215044875,"915 489 749 (Información)   
      
",info.es@atout-france.fr
Oficina de Turismo de Gibraltar,,0,- -,,,,,,info@gibraltar.gov.uk
Oficina de Turismo de Grecia,Consultar telefónicamente,0,CALLE QUINTANA,MADRID,28008,40.4287153966979,-3.715730424495196,915 484 889,
Oficina de turismo de Guatemala,,0,CALLE FERNANDO EL SANTO,MADRID,28010,40.42811147922819,-3.69060179113649,913 440 347 / 913 441 417,
Oficina de Turismo de Hungria,Consultar telefónicamente,0,-- --,MADRID,,,,915 569 348,hungria@hungriaturismo.com
Oficina de Turismo de India,,0,- -,,,,,,
Oficina de Turismo de Irán,,0,CALLE MARIA DE MOLINA,MADRID,28006,40.43756941084443,-3.6848032592188162,915 643 613,iran@iransara.es
Oficina de Turismo de Israel,Consultar telefónicamente,0,CALLE FUENCARRAL,MADRID,28004,40.42789832941921,-3.7020584270478287,915 943 211,
Oficina de Turismo de Italia,Consultar telefónicamente,0,CALLE SERRANO,MADRID,28006,40.4364258837023,-3.6862182951851614,915 670 670,
Oficina de Turismo de Japón,,0,- -,,,,,,
Oficina de Turismo de Jordania,Consultar telefónicamente,0,CALLE VILLANUEVA,MADRID,28001,40.4225708087371,-3.687598129527758,917 813 987,spain@visitjordan.com
Oficina de Turismo de la Comunidad de Madrid. Aeropuerto  de Barajas Terminal 1,"De lunes a sábados de 9 a 20 horas. Domingos  y festivos de 9 a 14 horas, excepto 1 de mayo, 25 de diciembre y 1 de enero, que permanecerá cerrada.",0,AEROPUERTO BARAJAS,MADRID,28042,40.4641393496236,-3.5698214842707134,913 058 656 / Información turística y cultural: 902 100 007 ,turismo@madrid.org
Oficina de Turismo de la Comunidad de Madrid. Aeropuerto de Barajas Terminal 4,"Todos los días de 9 a 20 horas. Cerrado, 1 de mayo, 25 de diciembre y 1 de enero",0,AVENIDA HISPANIDAD,MADRID,28042,40.45188738242834,-3.5859807207200376,"Sala 11: 913 338 247             
Sala 10: 913 338 252    
Información turística y cultural: 902 100 007           
",turismo@madrid.org
"Oficina de Turismo de la Comunidad de Madrid. Calle Alcalá, 31"," De lunes a sábados de 9 a 20 horas. Domingos y festivos (excepto: 1 de mayo, 25 de diciembre y 1 de enero) de 9 a 14 horas. ",0,CALLE ALCALA,MADRID,28014,40.41842560545147,-3.6982941133384717,"912 767 187   
Información turística y cultural: 902 100 007        
",turismo@madrid.org
Oficina de Turismo de la Comunidad de Madrid. Calle Duque de Medinaceli,De lunes a sábados de 8 a 15 horas. Domingos y festivos de 9 a 14 horas,0,CALLE DUQUE DE MEDINACELI,MADRID,28014,40.415295360876854,-3.6959869173057225,"Información turística y cultural:  902 100 007  / 914 294 951      
",turismo@madrid.org
Oficina de Turismo de la Comunidad de Madrid. Estación de Chamartín,"De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas, excepto 1 de mayo, 25 de diciembre y 1 de enero, que permanecerá cerrada",0,CALLE AGUSTIN DE FOXA,MADRID,28036,40.47188231136223,-3.683677137450532,913 159 976 / Información turística y cultural: 902 100 007 ,turismo@madrid.org
Oficina de Turismo de la Comunidad de Madrid. Estación Puerta de Atocha,"De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 20 horas, excepto 1 de mayo, 25 de diciembre y 1 de enero, que permencerá cerrada.",0,PLAZA EMPERADOR CARLOS V,MADRID,28045,40.4079118858889,-3.6923280851924556,Información turística y cultural: 902 100 007 / 915 284 630,turismo@madrid.org
Oficina de Turismo de la Comunidad de Madrid. Ifema. Feria de Madrid,"Los días en que se celebren ferias, de 11 a 17 horas",0,AVENIDA PARTENON,MADRID,28042,40.46428771594393,-3.6164023947650836,917 210 599 / 917 210 604. Información turística y cultural: 902 100 007 ,turismo@madrid.org
Oficina de Turismo de la República Checa,Consultar telefónicamente,0,AVENIDA PIO XII,MADRID,28016,40.466195029254166,-3.674926102930997,913 457 112,
Oficina de Turismo de La Rioja,De lunes a viernes de 9 a 21:30 horas. Verano: consultar.,0,CALLE SERRANO,MADRID,28001,40.426596411628736,-3.687839531572201,915 764 852,crmadrid@centroriojano.com
Oficina de Turismo de Malta,Consultar telefónicamente,0,PASEO CASTELLANA,MADRID,28046,40.43569358766222,-3.689677189614338,913 913 061,maltaembassy.madrid@gov.mt
Oficina de Turismo de Marruecos,Consultar telefónicamente,0,CALLE VENTURA RODRIGUEZ,MADRID,28008,40.42419994442981,-3.714586252566919,915 412 995,
Oficina de Turismo de Melilla,,0,- -,,,,,,
Oficina de Turismo de México,Consultar telefónicamente,0,CARRERA SAN JERONIMO,MADRID,28014,40.416052915045206,-3.697350209582731,915 611 827,
Oficina de Turismo de Navarra,,0,- -,MADRID,,40.4247929919497,-3.678968095477009,914 264 772,
