"Codigo de barrio";"Codigo de distrito al que pertenece";"Nombre de barrio";"Nombre acentuado del barrio";"Superficie (m2)";"Perimetro (m)"
"04";"20";"ARCOS               ";"ARCOS               ";"001305192";"005074"
"04";"21";"TIMON               ";"TIMÓN               ";"009595252";"015415"
"05";"01";"UNIVERSIDAD         ";"UNIVERSIDAD         ";"000947641";"004060"
"05";"02";"DELICIAS            ";"DELICIAS            ";"001057730";"004755"
"05";"03";"LOS JERONIMOS       ";"LOS JERÓNIMOS       ";"001900627";"005259"
"05";"04";"LISTA               ";"LISTA               ";"000520399";"003232"
"05";"05";"NUEVA ESPAÑA        ";"NUEVA ESPAÑA        ";"001788654";"005588"
"05";"06";"VALDEACEDERAS       ";"VALDEACEDERAS       ";"001163421";"005024"
"05";"07";"RIOS ROSAS          ";"RIOS ROSAS          ";"000971220";"004060"
"05";"08";"LA PAZ              ";"LA PAZ              ";"002159243";"006347"
"05";"09";"VALDEMARIN          ";"VALDEMARÍN          ";"003305105";"008300"
"05";"10";"CAMPAMENTO          ";"CAMPAMENTO          ";"009157875";"016619"
"05";"11";"PUERTA BONITA       ";"PUERTA BONITA       ";"001607994";"005982"
"05";"12";"MOSCARDO            ";"MOSCARDÓ            ";"000908875";"004248"
"05";"13";"PORTAZGO            ";"PORTAZGO            ";"001245274";"004834"
"05";"14";"FONTARRON           ";"FONTARRÓN           ";"000964574";"006220"
"05";"15";"SAN PASCUAL         ";"SAN PASCUAL         ";"001052925";"004458"
"05";"16";"APOSTOL SANTIAGO    ";"APÓSTOL SANTIAGO    ";"001204621";"004726"
"05";"17";"LOS ANGELES         ";"LOS ÁNGELES         ";"001944811";"005713"
"05";"20";"ROSAS               ";"ROSAS               ";"009388024";"015290"
"05";"21";"CORRALEJOS          ";"CORRALEJOS          ";"004633048";"009753"
"06";"01";"SOL                 ";"SOL                 ";"000445128";"002716"
"06";"02";"PALOS DE MOGUER     ";"PALOS DE MOGUER     ";"000643542";"003615"
"06";"03";"NIÑO JESUS          ";"NIÑO JESÚS          ";"000643202";"003548"
"06";"04";"CASTELLANA          ";"CASTELLANA          ";"000773230";"003745"
"06";"05";"CASTILLA            ";"CASTILLA            ";"002160431";"006783"
"06";"06";"BERRUGUETE          ";"BERRUGUETE          ";"000607050";"003417"
"06";"07";"VALLEHERMOSO        ";"VALLEHERMOSO        ";"001068709";"004221"
"06";"08";"VALVERDE            ";"VALVERDE            ";"008977802";"012223"
"06";"09";"EL PLANTIO          ";"EL PLANTÍO          ";"003554549";"009995"
"06";"10";"CUATRO VIENTOS      ";"CUATRO VIENTOS      ";"005419612";"010146"
"06";"11";"BUENAVISTA          ";"BUENAVISTA          ";"005613749";"011612"
"06";"12";"ZOFIO               ";"ZOFIO               ";"000775103";"003743"
"06";"13";"NUMANCIA            ";"NUMANCIA            ";"001849172";"005364"
"06";"14";"VINATEROS           ";"VINATEROS           ";"000593979";"003721"
"06";"15";"SAN JUAN BAUTISTA   ";"SAN JUAN BAUTISTA   ";"001010843";"004012"
"06";"16";"VALDEFUENTES        ";"VALDEFUENTES        ";"016778055";"018779"
"06";"20";"REJAS               ";"REJAS               ";"005007305";"013360"
"07";"02";"ATOCHA              ";"ATOCHA              ";"000775561";"004999"
"07";"08";"MIRASIERRA          ";"MIRASIERRA          ";"006975186";"013135"
"07";"09";"ARAVACA             ";"ARAVACA             ";"005855800";"010853"
"07";"10";"LAS AGUILAS         ";"LAS ÁGUILAS         ";"003609338";"007626"
"07";"11";"ABRANTES            ";"ABRANTES            ";"001564207";"005494"
"07";"12";"PRADOLONGO          ";"PRADOLONGO          ";"001095654";"004785"
"07";"15";"COLINA              ";"COLINA              ";"000559702";"003175"
"07";"20";"CANILLEJAS          ";"CANILLEJAS          ";"001598075";"005428"
"08";"08";"EL GOLOSO           ";"EL GOLOSO           ";"026509171";"026489"
"08";"15";"ATALAYA             ";"ATALAYA             ";"000248887";"002240"
"08";"20";"EL SALVADOR         ";"EL SALVADOR         ";"001881765";"006571"
"09";"15";"COSTILLARES         ";"COSTILLARES         ";"001427052";"005635"
