Fichero actualizado a fecha: 2014-10-19 02:29:29
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido;
"Centro Cultural Hispano-Japonés (Salamanca)";"Pública (Universidad de Salamanca)";;;"Plaza de San Boal, 11-13 (Palacio de San Boal)";"37002";"Salamanca";"1179298323669";;"923 294 560";;"923 294 759";"cchj@usal.es";"http://www.centrojapones.es/";"40.96773536245148#-5.6630659103393555#88";"<p>Creado en 1999, el Centro Cultural Hispano Japon&eacute;s (CCHJ) persigue favorecer el conocimiento y la cooperaci&oacute;n entre Jap&oacute;n y Espa&ntilde;a, desde los intercambios acad&eacute;micos y culturales hasta las relaciones econ&oacute;micas. Para ello trabaja en colaboraci&oacute;n con la Asociaci&oacute;n Universidad de Salamanca en Jap&oacute;n, con empresas, instituciones de ense&ntilde;anza e investigaci&oacute;n y organizaciones no gubernamentales japonesas y espa&ntilde;olas, as&iacute; como con las Administraciones p&uacute;blicas de ambos pa&iacute;ses.</p>
<p>Entre sus actividades est&aacute;n la ense&ntilde;anza de la lengua japonesa, la Semana Cultural de Jap&oacute;n, la oferta de cursos para profesionales y empresarios, la organizaci&oacute;n de ciclos art&iacute;sticos y culturales, el apoyo a los estudios superiores y la promoci&oacute;n de la investigaci&oacute;n sobre Jap&oacute;n y sobre el conjunto de Asia Oriental.</p>
<p><strong>Horario del Centro: </strong>Lunes a Viernes<br />
Ma&ntilde;anas 10:00 a 14:00<br />
Tardes 18:00 a 21:00</p>
<p><strong>Horario de la biblioteca<br />
</strong>Lunes a Viernes. Ma&ntilde;anas &ndash; 09:00 a 14:00<br />
Lunes a Jueves. Tardes &ndash; 17:00 a 19:30</p>
<p>* A la biblioteca se accede por la C/Rector Tovar en horario de 09.00 a 10.00 y de 17.00 a 18.00 horas.</p>";"Salamanca";"1284266925920";1284236222732;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236222732/DirectorioPadre";
"Ávila";;;;;;;;"Si";;;;;;;;"Centros culturales polivalentes";"1284235937971";1284266923596;20140226;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284266923596/DirectorioPadre";
"Centro Cultural La Cilla (Narros del Castillo)";;;;"C/ Ronda, 3";"05369";"Narros del Castillo";"1179297240106";;"920 563 208";;;;;"40.857593976438864#-5.06219744682312#82";"<p>Donde all&aacute; por el siglo XVI estuviera la Cilla, espacio en el que la iglesia guardaba los diezmos, se ha levantado un muro m&aacute;s de mamposter&iacute;a y se ha construido un centro de usos m&uacute;ltiples de unos 130 metros cuadrados y que cuenta con tres utilidades bien diferentes. Por un lado, se ha creado una biblioteca municipal que ir&aacute; llen&aacute;ndose con donaciones; adem&aacute;s, el centro cuenta con una peque&ntilde;a sala de exposiciones itinerantes que contribuir&aacute; a dinamizar la vida cultural de la localidad mora&ntilde;ega. Finalmente, las obras de rehabilitaci&oacute;n han contemplado la creaci&oacute;n de un auditorio con espacio para unas 80 personas.</p>";"Ávila";"1284266923596";1284308387100;20140225;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284308387100/DirectorioPadre";
"Casa de Cultura de Gamonal (Burgos)";"Municipal";;;"C/ Pablo Ruiz Picasso, s/n";"09007";"Burgos";"1179297447246";;"947 288 861";;;;"http://www.aytoburgos.es/cultura/agenda-cultural/casa-de-cultura-de-gamonal";"42.35295442985353#-3.6686289310455322#94";;"Burgos";"1284266924116";1284236169194;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236169194/DirectorioPadre";
"Centro Cultural Caja de Burgos";"Caja de Burgos";;;"Plaza del Trigo, 8";"09400";"Aranda de Duero";"1179297429124";;"947 54 65 86";;;;;"41.671164758708265#-3.6877772212028503#88";"<p>El Centro Cultural Caja de Burgos de Aranda de Duero cuenta con una Sala de Exposiciones de 130 m<sup>2</sup>.</p>";"Burgos";"1284266924116";1284253437492;20131219;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284253437492/DirectorioPadre";
"Casa de Cultura (Aranda de Duero)";;;;"Plaza del Trigo, 9";"09400";"Aranda de Duero";"1179297429124";;"947 511 275";;"947 511 513";"cultura@arandadeduero.es";"http://www.arandadeduero.es/";"41.67114071625512#-3.688088357448578#94";;"Burgos";"1284266924116";1284261483427;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284261483427/DirectorioPadre";
"Centro Cívico Villa de Roa (Roa de Duero)";"Centro Cívico Villa de Roa";;;"C/ El Tinte, 27";"09300";"Roa";"1179297610830";;"947 540 834";;;;;"41.69546562404944#-3.9300642511352634#94";;"Burgos";"1284266924116";1284295285140;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284295285140/DirectorioPadre";
"Salón Cultural (Torresandino)";;;;"Plaza Frontón, s/n";"09310";"Torresandino";"1179297631689";;"947 551 104";;;;;"41.82947342591367#-3.9134931564331055#88";;"Burgos";"1284266924116";1284304965264;20140212;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284304965264/DirectorioPadre";
"León";;;;;;;;"Si";;;;;;;;"Centros culturales polivalentes";"1284235937971";1284266925489;20130429;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284266925489/DirectorioPadre";
"Instituto Leonés de Cultura (León)";"Dependiente de la Diputación Provincial de León";;;"Puerta de la Reina, 1";"24003";"León";"1179297860755";;"987 262 324";;;"dlilc@argored.com";"http://www.institutoleonesdecultura.es/";"42.59585#-5.571397#88";"<p>La sede principal del Instituto Leon&eacute;s de Cultura es el denominado <strong>Edificio Fierro. </strong>Este edificio alberga la Biblioteca Regional Domingo Fern&aacute;ndez Berrueta, que dispone de entrada individualizada por la Calle Sta. Nonia n&ordm; 3. En este lugar se centralizan los servicios de la red de Bibliobuses y el Centro Coordinador de Bibliotecas y es la sede de los distintos departamentos que componen el Instituto Leon&eacute;s de Cultura.</p>
<p>El edificio cuenta adem&aacute;s con una&nbsp;sala de exposiciones, la&nbsp;&ldquo;Sala Provincia&rdquo;, y con un sal&oacute;n de ctos: &ldquo;Sala Regi&oacute;n&rdquo;.</p>";"León";"1284266925489";1284236172728;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236172728/DirectorioPadre";
