Fichero actualizado a fecha: 2014-10-19 03:52:48
DescripcionBlob;NombreEntidad;DirectorioRelacionado;DirectorioRelacionado;Localidad;Tipo de Gestión;Horario de apertura;Requisitos específicos para el acceso;Accesibilidad;Servicios disponibles;Información Adicional;Identificador;FechaModificacion;Enlace al contenido;
;"Biblioteca Pública Municipal de Páramo del Sil";"Biblioteca Pública Municipal de Páramo del Sil";"1194505264160";"Páramo del Sil";;"<p><strong>De lunes a viernes: </strong>de 17 a 19 h.<br />
&nbsp;</p>";;;"<ul>
<li>Consulta en&nbsp;sala</li>
<li>Pr&eacute;stamo&nbsp;&nbsp;</li>
<li>Acceso a Internet</li>
<li>Reprograf&iacute;a</li>
</ul>";"<p><strong>Recursos: </strong>Libros, peri&oacute;dicos, revistas y material audiovisual<br />
&nbsp;</p>";1284224548731;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1284224548731/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FBibliotecasPlantillaImagenDchaTexto&amp;_herramienta_=true&amp;_cid_=1207835089587&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1207835089587;Tipo:Recurso)]</i></span>";"Biblioteca Pública Municipal de Pinilla";"Biblioteca Pública Municipal de Pinilla";"1194505240254";"Barrio de Pinilla";;"<p><strong>De lunes a viernes: </strong>de 10 a 13 h. y de 17 a 20 h.<br />
<br />
&nbsp;</p>";;;"<ul>
<li>Consulta en&nbsp;sala</li>
<li>Pr&eacute;stamo&nbsp;&nbsp;</li>
<li>Acceso a Internet</li>
<li>Zona Wi-fi</li>
<li>Formaci&oacute;n de usuarios</li>
<li>Reprograf&iacute;a</li>
</ul>";"<p><strong>Recursos: </strong>Libros, peri&oacute;dicos, revistas y material audiovisual<br />
&nbsp;</p>";1284224557669;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1284224557669/DirectorioPadre";
"<p><img src='/web/jcyl/binarios/417/657/WPA_BM_Salda%C3%B1a.jpg' alt='Foto de la biblioteca de Saldaña (Palencia)'></p>";"Biblioteca Pública Municipal ""Ricardo Cortés"" de Saldaña (Palencia)";"Biblioteca Pública Municipal de Saldaña";"1195196674553";"Saldaña";;"<p><strong>Lunes a viernes</strong>, de 9:30 a 14:30 y 16 a 19:30 h.</p>
<p><strong>Verano (julio y agosto),</strong> de 9:30 a 14:30 h.&nbsp;</p>
<p>&nbsp;</p>";;;"<p><strong>Servicios</strong>:</p>
<ul>
<li>Pr&eacute;stamo infantil y adulto..</li>
<li>Informaci&oacute;n y referencia.</li>
<li>Fondos de estudios locales.</li>
<li>Acceso a Internet.</li>
<li>Actividades culturales y de animaci&oacute;n a la lectura</li>
</ul>
<p>&nbsp;</p>";"<p><strong>Recursos </strong>(datos aproximados):</p>
<p><strong><br />
</strong></p>
<ul>
<li>Libros:&nbsp;6.500 vol&uacute;menes</li>
<li>Prensa:&nbsp;2 peri&oacute;dicos</li>
<li>Revistas: 5 t&iacute;tulos</li>
<li>Documentos audiovisuales:&nbsp;400 DVDs y CDs audio y&nbsp;CD-ROMs</li>
</ul>
<p><strong>Equipamiento</strong>:</p>
<ul>
<li>31&nbsp;puestos de consulta</li>
<li>Fotocopiadora</li>
<li>3 puestos de uso p&uacute;blico con acceso a Internet</li>
<li>Escaner</li>
</ul>
<p>&nbsp;</p>";1284224632109;20120619;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284224632109/DirectorioPadre";
;"Biblioteca Pública Municipal de Santa Marina del Rey";"Biblioteca Pública Municipal de Santa Marina del Rey";"1194591163036";"Santa Marina del Rey";;"<p><strong>De lunes a viernes: </strong>de 17 a 18:30 h.<br />
<strong>Verano</strong>: de 11:30 a 13 h.</p>";;;"<ul>
<li>Consulta en&nbsp;sala</li>
<li>Pr&eacute;stamo</li>
<li>Acceso a Internet</li>
<li>Formaci&oacute;n de usuarios</li>
</ul>";"<p><strong>Recursos: </strong>Libros, peri&oacute;dicos, revistas y material audiovisual<br />
&nbsp;</p>";1284224650238;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1284224650238/DirectorioPadre";
"<p><img src='/web/jcyl/binarios/1003/256/WPA_BM_Velilla.jpg' alt='Foto de la biblioteca de Velilla del Río Carrión (Palencia)'></p>";"Biblioteca Pública Municipal ""Padre Marcelo"" de Velilla del Río Carrión (Palencia)";"Biblioteca Pública Municipal de Velilla del Río Carrión";"1195196685805";"Velilla del Río Carrión";;"<p><strong>Lunes a viernes</strong>, de 17 a 20 h.<br />
<strong>Verano (julio y agosto),</strong> de 11 a 14 h.</p>
<p>&nbsp;</p>";;;"<p><strong>Servicios</strong>:</p>
<ul>
<li>Pr&eacute;stamo infantil y adulto.</li>
<li>Pr&eacute;stamo Interbibliotecaro.</li>
<li>Informaci&oacute;n y referencia.</li>
<li>Fondo de estudios locales.</li>
<li>Consulta de documentos audiovisuales.</li>
<li>Acceso a Internet.</li>
<li>Actividades culturales y de animaci&oacute;n a la lectura</li>
</ul>
<p>&nbsp;</p>";"<p><strong>Recursos </strong>(datos aproximados):</p>
<p><strong><br />
</strong></p>
<ul>
<li>Libros:&nbsp;9.000 vol&uacute;menes</li>
<li>Revistas:&nbsp;4 t&iacute;tulos</li>
<li>Prensa:&nbsp;2 peri&oacute;dicos</li>
<li>Documentos audiovisuales:&nbsp;100 DVDs y CDs audio y&nbsp;CD-ROMs</li>
</ul>
<p><strong>Equipamiento</strong>:</p>
<ul>
<li>45&nbsp;puestos de consulta</li>
<li>Escaner</li>
<li>2 puestos de uso p&uacute;blico con acceso a Internet</li>
<li>Reproductor de audiovisuales</li>
</ul>
<p>&nbsp;</p>";1284224655085;20120619;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284224655085/DirectorioPadre";
;"Biblioteca Azcárate de la Fundación Sierra Pambley (León)";"Biblioteca Azcárate. León";"1201083669562";"León";;"<p><strong>De lunes a viernes</strong>: de 17 a 20:30 h.<br />
&nbsp;</p>";;;"<ul>
<li>Consulta en&nbsp;sala</li>
<li>Pr&eacute;stamo&nbsp;&nbsp;</li>
<li>Informaci&oacute;n bibliogr&aacute;fica</li>
<li>Acceso a Internet</li>
<li>Reproducci&oacute;n de documentos</li>
<li>Visitas guiadas y cesi&oacute;n de espacios</li>
</ul>";"<p><strong>Recursos:&nbsp;</strong>Est&aacute; formada por una colecci&oacute;n bibliogr&aacute;fica que incluye monograf&iacute;as y publicaciones peri&oacute;dicas. Los contenidos est&aacute;n ligados principalmente a las materias de las ciencias sociales, historia, geograf&iacute;a y pedagog&iacute;a.<br />
<br />
Cuenta con un importante fondo procedente de las Escuelas de la Fundaci&oacute;n Sierra Pambley, de la Instituci&oacute;n Libre de Ense&ntilde;anza y de la donaci&oacute;n efectuada por los herederos de Gurmesindo de Azc&aacute;rate.</p>";1284224776906;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1284224776906/DirectorioPadre";
"<p>&nbsp;</p>
<img src='/web/jcyl/binarios/459/716/tabara300.JPG' alt='Imagen fachada biblioteca'>";"Biblioteca Pública Municipal de Tábara ""Alicia Casado""";"Biblioteca Pública Municipal de Tábara";"1284225298521";"Tábara";;"<p><strong>Lunes a viernes</strong>:</p>
<ul>
<li>Ma&ntilde;anas de 10:00 a 13:00</li>
<li>Tardes de 16:00 a 19:00</li>
</ul>";;;"<ul>
<li>Informaci&oacute;n y referencia</li>
<li>Lectura en sala</li>
<li>Hemeroteca&nbsp;</li>
<li>Fondo local</li>
<li>Pr&eacute;stamo de libros y docuementos audiovisuales y electr&oacute;nicos</li>
<li>Actividades culturales y de animaci&oacute;n a la lectura</li>
<li>Formaci&oacute;n de usuarios y visitas escolares&nbsp;</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>M&aacute;s de&nbsp;4.800 libros, tanto para el usuario adulto como infantil</li>
<li>4&nbsp;peri&oacute;dicos diarios y&nbsp;11 t&iacute;tulos de revistas</li>
<li>M&aacute;s de&nbsp; 1.000 documentos&nbsp;electronicos y audiovisuales&nbsp;<br />
&nbsp;</li>
</ul>
<p><strong>Instalaciones:</strong></p>
<ul>
<li>La superficie &uacute;til de la la bibioteca es de&nbsp; 140 metros cuadrados</li>
<li>18 puestos de consulta<br />
&nbsp;</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico:</strong></p>
<ul>
<li>1 ordenador para gesti&oacute;n interna</li>
<li>6&nbsp;ordenadores de&nbsp;uso p&uacute;blico&nbsp;</li>
<li>1&nbsp;impresoras de uso p&uacute;blico</li>
<li>1 empresora de uso interno</li>
<li>1 esc&aacute;ner de uso p&uacute;blico</li>
<li>1 esc&aacute;ner de uso interno&nbsp;</li>
</ul>
<p>&nbsp;</p>";1284225311777;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1284225311777/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaImagenCentro&amp;_herramienta_=true&amp;_cid_=1284225600747&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1284225600747;Tipo:Recurso)]</i></span>
<p>&nbsp;</p>";"Biblioteca Pública Municipal de Fermoselle (Zamora)";"Biblioteca Pública Municipal de Fermoselle";"1203344046991";"Fermoselle";;"<p><strong>&nbsp;Lunes a viernes:</strong></p>
<ul>
<li>&nbsp;18:30 a 21:00</li>
</ul>";;"El acceso por parte de los usuarios será, con carácter general, libre y gratuito, sin perjuicio de los derechos que sean exigibles por la utilización de servicios de reprografía, préstamo interbibliotecario y otros que puedan hacerse por vía reglamentaria.
";"<ul>
<li>Informaci&oacute;n y referencia</li>
<li>Lectura en sala</li>
<li>Hemeroteca&nbsp;</li>
<li>Fondo local</li>
<li>Pr&eacute;stamo de libros y documentos audiovisuales y electr&oacute;nicos</li>
<li>Actividades culturales y de animaci&oacute;n a la lectura</li>
<li>Formaci&oacute;n de usuarios y visitas escolares&nbsp;</li>
<li>Secci&oacute;n infantil-juvenil</li>
</ul>
<p>&nbsp;</p>";"<p><strong>Recursos:</strong></p>
<ul>
<li>M&aacute;s de&nbsp;14.300 libros, tanto para el usuario adulto como infantil</li>
<li>4&nbsp;peri&oacute;dicos diarios y&nbsp;11 t&iacute;tulos de revistas</li>
<li>M&aacute;s de&nbsp;1.200 documentos&nbsp;electronicos y audiovisuales&nbsp;<br />
&nbsp;</li>
</ul>
<p><strong>Instalaciones:</strong></p>
<ul>
<li>La superficie &uacute;til de la la bibioteca es de&nbsp;138 metros cuadrados</li>
<li>48&nbsp;puestos de&nbsp;consulta<br />
&nbsp;</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico:</strong></p>
<ul>
<li>1 ordenador para gesti&oacute;n interna</li>
<li>2&nbsp;ordenador para uso p&uacute;blico</li>
<li>2&nbsp;impresoras de gesti&oacute;n interna</li>
<li>1 esc&aacute;ner para geti&oacute;n interna</li>
</ul>
<p>&nbsp;</p>";1284225603450;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1284225603450/DirectorioPadre";
;"Biblioteca Pública Municipal de Barruecopardo";"Biblioteca Pública Municipal de Barruecopardo";"1195686999450";"Barruecopardo";;"<p>De 18:00 a 19:00 horas (lunes a viernes)</p>";;;"<ul>
<li>Pr&eacute;stamo de libros</li>
</ul>";"<ul>
<li>Vol&uacute;menes para adultos</li>
<li>Vol&uacute;menes para infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
</ul>";1284225805126;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1284225805126/DirectorioPadre";
;"Biblioteca Pública Municipal de Cespedosa de Tormes";"Biblioteca Pública Municipal de Cespedosa de Tormes";"1195801304325";"Cespedosa de Tormes";;"<p>De 16:00 a 21:00 horas&nbsp;(lunes a viernes)</p>";;;"<ul>
<li>Lectura en sala, consulta de obras de referencia y pr&eacute;stamo, secci&oacute;n infantil, adultos, hemeroteca</li>
</ul>";"<ul>
<li>Vol&uacute;menes para adultos</li>
<li>Vol&uacute;menes para infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Documentos sonoros</li>
<li>Documentos audiovisuales y electr&oacute;nicos</li>
</ul>";1284225853634;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1284225853634/DirectorioPadre";
;"Biblioteca Pública Municipal de Ledesma";"Biblioteca Pública Municipal de Ledesma";"1195686996655";"Ledesma";;"<p>De 17:00 a 20:00 horas (lunes a viernes)</p>";;;"<ul>
<li>Pr&eacute;stamo, lectura en sala, consulta de obras de referencia</li>
<li>Animaci&oacute;n y promoci&oacute;n cultural</li>
<li>Apoyo a la comunidad (cursos)</li>
<li>Punto de informaci&oacute;n juvenil</li>
<li>Conexi&oacute;n a internet</li>
</ul>";"<ul>
<li>Secci&oacute;n de adultos</li>
<li>Secci&oacute;n infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Documentos sonoros</li>
<li>Documentos audiovisuales y electr&oacute;nicos</li>
</ul>";1284225864925;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1284225864925/DirectorioPadre";
;"Biblioteca Pública Municipal de Los Santos";"Biblioteca Pública Municipal de Los Santos";"1195801336693";"Santos (Los)";;"<p>De 17:30 a 19:30 horas (lunes a viernes)</p>";;;"<ul>
<li>Lectura en sala, consulta de obras de referencia y pr&eacute;stamo de libros, Secci&oacute;n infantil, juvenil y adultos, Hemeroteca, conexi&oacute;n a internet</li>
</ul>";"<ul>
<li>Vol&uacute;menes para adultos</li>
<li>Vol&uacute;menes para infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Documentos sonoros</li>
<li>Documentos audiovisuales y electr&oacute;nicos</li>
</ul>";1284225865907;20120622;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1284225865907/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaImagenCentro&amp;_herramienta_=true&amp;_cid_=1207035571148&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1207035571148;Tipo:Recurso)]</i></span>";"Biblioteca Pública Municipal de Santa Marta de Tormes";"Biblioteca Pública Municipal de Santa Marta de Tormes";"1195686998247";"Santa Marta de Tormes";;"<p>De 11:00 a 14:00 horas y de 17:00 a 20:30 horas&nbsp;(lunes a viernes)</p>";;;"<ul>
<li>Servicio de consulta, de lectura en sala, de pr&eacute;stamo a domicilio, de extensi&oacute;n bibliotecaria, conexi&oacute;n a internet</li>
</ul>";"<ul>
<li>Vol&uacute;menes para adultos</li>
<li>Vol&uacute;menes para infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Documentos sonoros</li>
<li>Documentos audiovisuales y electr&oacute;nicos</li>
</ul>";1284225869458;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1284225869458/DirectorioPadre";
;"Taller de Lectura del Barrio Chamberí de Salamanca";"Taller de Lectura del Barrio Chamberí de Salamanca";"1207035243704";"Salamanca";;"<p>Horario de invierno: de 17:00 a 20:00 horas (lunes a viernes)<br />
Horario de verano (de Julio a Septiembre): de 10:30 a 14:00 horas (lunes a viernes)</p>
<p>&nbsp;</p>";;;"<ul>
<li>Secci&oacute;n Infantil, Juvenil y Adultos</li>
</ul>";"<ul>
<li>Libros, v&iacute;deos, dvd's</li>
</ul>";1284225871605;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1284225871605/DirectorioPadre";
;"Biblioteca Pública Municipal de Villavieja de Yeltes";"Biblioteca Pública Municipal de Villavieja de Yeltes";"1195801354417";"Villavieja de Yeltes";;"<p>De 17:30 a 19:00 horas&nbsp;(lunes a viernes)</p>";;;"<ul>
<li>Conexi&oacute;n a internet</li>
</ul>";"<ul>
<li>Vol&uacute;menes para adultos</li>
<li>Vol&uacute;menes para infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Documentos sonoros</li>
<li>Documentos audiovisuales y electr&oacute;nicos</li>
</ul>";1284225882798;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1284225882798/DirectorioPadre";
;"Biblioteca de la Universidad Pontificia de Salamanca";"Biblioteca de la Universidad Pontificia de Salamanca";"1201083968382";"Salamanca";;;;;"<ul>
<li>Pr&eacute;stamo de libros, sala de lectura y estudio.</li>
</ul>";"<ul>
<li>Los relacionados con las materias sobre las que imparte docencia: periodismo, teolog&iacute;a, psicolog&iacute;a, inform&aacute;tica, etc.</li>
</ul>";1284226150201;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1284226150201/DirectorioPadre";
;"Bibliotecas Segovia";;;;;;;;;;1284309956328;20140305;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1284309956328/DirectorioPadre";
;"Bibliotecas Valladolid";;;;;;;;;;1284309959096;20140305;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284309959096/DirectorioPadre";
;"Bibliotecas Zamora";;;;;;;;;;1284309960524;20140305;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284309960524/DirectorioPadre";
;"Bibliotecas municipales del sistema urbano de Segovia";;;;;;;;;;1284310020027;20140306;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284310020027/DirectorioPadre";
;"Bibliotecas municipales del sistema provincial de Zamora";;;;;;;;;;1284310021169;20140306;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284310021169/DirectorioPadre";
;"Biblioteca Pública de León";"Alfredo Diez Escobar";"1194345405715";"León";;"<p>GENERAL: <br />
Lunes a viernes: continuo de 9:00 a 21:20 h. <br />
S&aacute;bados: ma&ntilde;anas de 9:00 a 14:00 h.; tardes cerrado</p>
<p>&nbsp;</p>";;;"<ul>
<li>Pr&eacute;stamo. Infantil y adulto, renovaciones, reservas y m&aacute;quina de autopr&eacute;stamo. Pr&eacute;stamo interbibliotecario. Pr&eacute;stamo especial para instituciones.</li>
<li>Consulta. Sala de lectura para el acceso a obras de referencia. Hemeroteca, para la consulta de prensa, revistas y publicaciones oficiales. Sala de audiovisuales, con posibilidad de audici&oacute;n y visionado individual en sala.</li>
<li>Informaci&oacute;n bibliogr&aacute;fica y de referencia. Consultas sobre el uso de la biblioteca, recursos de informaci&oacute;n disponibles, etc.</li>
<li>Internet y ofim&aacute;tica. Sala con &nbsp;puestos de acceso a Internet y paquetes de Office para la elaboraci&oacute;n de documentos.</li>
<li>Infantil y juvenil. Servicios y colecciones espec&iacute;ficamente adaptados para los usuarios m&aacute;s peque&ntilde;os de la biblioteca.</li>
<li>Fondo local. Publicaciones impresas en la provincia de Le&oacute;n (procedentes de Dep&oacute;sito Legal), obras de tem&aacute;tica leonesa y escritas por autores nacidos o muy vinculados a la provincia.</li>
<li>Visitas guiadas para grupos de escolares y adultos pertenecientes a colectivos e instituciones. <br />
&nbsp;</li>
</ul>";"<p><strong>Recursos:<br />
</strong>Libros, partituras, publicaciones peri&oacute;dicas, audiovisuales, material gr&aacute;fico y cartogr&aacute;fico, as&iacute; como recursos electr&oacute;nicos y multimedia. <br />
&nbsp;</p>";1284310706115;20140311;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1284310706115/DirectorioPadre";
;"Biblioteca Pública de Zamora";"Biblioteca Pública de Zamora";"1191909602937";"Zamora";;"<p>GENERAL: <br />
Lunes a viernes: continuo de 9:00 a 21:00 h. <br />
S&aacute;bados: ma&ntilde;anas de 9:00 a 14:00 h.</p>
<p>HORARIO DE VERANO (julio-agosto): <br />
Lunes a viernes: tardes de&nbsp;8:00 a&nbsp;15:00 h. <br />
S&aacute;bados: ma&ntilde;anas de&nbsp;9:00 a 14:00 horas&nbsp;</p>";;;"<ul>
<li>Pr&eacute;stamo. Ni&ntilde;os. j&oacute;venes y adultos, renovaciones, reservas y m&aacute;quina de autopr&eacute;stamo. Pr&eacute;stamo interbibliotecario. Pr&eacute;stamo especial para instituciones.</li>
<li>Consulta. Sala de lectura para el acceso a obras de referencia. Hemeroteca, para la consulta de prensa, revistas y publicaciones oficiales. Sala de audiovisuales.</li>
<li>Informaci&oacute;n bibliogr&aacute;fica y de referencia. Consultas sobre el uso de la biblioteca, recursos de informaci&oacute;n disponibles, etc.</li>
<li>Internet y ofim&aacute;tica. Sala con&nbsp;6 puestos de acceso a Internet y paquetes de Office para la elaboraci&oacute;n de documentos.</li>
<li>Infantil y juvenil. Servicios y colecciones espec&iacute;ficamente adaptados para los usuarios m&aacute;s peque&ntilde;os de la biblioteca.</li>
<li>Fondo local. Publicaciones impresas en la provincia de Zamora (procedentes de Dep&oacute;sito Legal), obras de tem&aacute;tica zamorana y escritas por autores nacidos o muy vinculados a la provincia.</li>
<li>Visitas guiadas para grupos de escolares y adultos pertenecientes a colectivos e instituciones. <br />
&nbsp;</li>
</ul>";"<p><strong>Recursos:<br />
</strong>Libros, publicaciones peri&oacute;dicas, audiovisuales, material gr&aacute;fico y cartogr&aacute;fico, partituras,&nbsp;as&iacute; como recursos electr&oacute;nicos y multimedia. <br />
&nbsp;</p>";1284310866074;20140312;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1284310866074/DirectorioPadre";
;"Biblioteca Pública de Segovia";"Biblioteca Pública de Segovia";"1191823273561";"Segovia";;"<p><strong>Horario general:<br />
</strong>&bull; De lunes a viernes, de 9:00 a 21:00 <br />
&bull; S&aacute;bado, de 9:00 a 14:00 <br />
<strong>Sala infantil:<br />
</strong>&bull; Lunes a viernes, de 15:30 a 20:30 <br />
&bull; S&aacute;bados, de 9:00 a 14:00 <br />
&bull; En per&iacute;odos no lectivos est&aacute; abierta tambi&eacute;n por las ma&ntilde;anas<br />
<strong>Horario de verano:<br />
</strong>&bull; Lunes a viernes, de 9:00 a 15:00<br />
&bull; S&aacute;bados, de 9:00 a 14:00<br />
&nbsp;</p>";;;"<p>&bull; <strong>Informaci&oacute;n al ciudadano<br />
</strong>&bull; <strong>Consulta</strong> de todos los documentos de sus fondos, cualquiera que sea su formato<br />
&bull; <strong>Pr&eacute;stamo</strong> a domicilio a adultos y ni&ntilde;os, incluidos libros electr&oacute;nicos<br />
&bull; Consulta del fondo <strong>local</strong>, y fondo <strong>antiguo<br />
</strong>&bull; <strong>Visitas</strong> a sus instalaciones<br />
&bull; <strong>Actividades</strong> de fomento de la lectura<br />
&bull; Acceso a <strong>documentos de otras bibliotecas<br />
</strong>&bull; <strong>Reproducciones</strong> necesarias, en distintos formatos<br />
&bull; Acceso libre y gratuito a <strong>Internet<br />
</strong></p>";"<p><strong>Recursos:</strong><br />
Libros, revistas, diarios, audiovisuales, material gr&aacute;fico, mapas, recursos electr&oacute;nicos y multimedia. <br />
&nbsp;</p>";1284310993399;20140312;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1284310993399/DirectorioPadre";
"<p><img src='/web/jcyl/binarios/118/651/Riomegro%20del%20Puente%20(1).gif' alt='Imagen fachada biblioteca'></p>";"Biblioteca Pública Municipal de Rionegro del Puente ""Diego de Losada"" (Zamora)";"Biblioteca Pública Municipal de Rionegro del Puente";"1203344062274";"Rionegro del Puente";;"<p><strong>Lunea a viernes: </strong></p>
<ul>
<li>&nbsp;17:00 a 20:00</li>
</ul>";;"El acceso por parte de los usuarios será, con carácter general, libre y gratuito, sin perjuicio de los derechos que sean exigibles por la utilización de servicios de reprografía, préstamo interbibliotecario y otros que puedan hacerse por vía reglamentaria.
";"<ul>
<li>Informaci&oacute;n y referencia</li>
<li>Lectura en sala</li>
<li>Hemeroteca&nbsp;</li>
<li>Fondo local</li>
<li>Pr&eacute;stamo de libros y documentos audiovisuales y electr&oacute;nicos</li>
<li>Actividades culturales y de animaci&oacute;n a la lectura</li>
<li>Formaci&oacute;n de usuarios y visitas escolares&nbsp;</li>
<li>Secci&oacute;n infantil-juvenil</li>
</ul>
<p>&nbsp;</p>";"<p><strong>Recursos:</strong></p>
<ul>
<li>M&aacute;s de&nbsp;5.700 libros, tanto para el usuario adulto como infantil</li>
<li>4&nbsp;peri&oacute;dicos diarios y&nbsp;11 t&iacute;tulos de revistas</li>
<li>M&aacute;s de 800 documentos&nbsp;electronicos y audiovisuales&nbsp;<br />
&nbsp;</li>
</ul>
<p><strong>Instalaciones:</strong></p>
<ul>
<li>La superficie &uacute;til de la la bibioteca es de&nbsp;120 metros cuadrados</li>
<li>10&nbsp;puestos de&nbsp;conculta<br />
&nbsp;</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico:</strong></p>
<ul>
<li>1 ordenador para gesti&oacute;n interna</li>
<li>1 ordenador para uso p&uacute;blico</li>
<li>1&nbsp;impresoras de uso p&uacute;blico</li>
<li>1 esc&aacute;ner de uso p&uacute;blico&nbsp;</li>
</ul>
<p>&nbsp;</p>";1284358698645;20140820;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1284358698645/DirectorioPadre";
