Fichero actualizado a fecha: 2014-10-19 14:41:17
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido;
"Museo Catedralicio de Ávila";;;"Plaza de la Catedral, 8 ? 5001 Ávila";"Plaza de la Catedral, 8.";"05001";"Ávila";"1179297192481";;"920 211641";;;"catedraldeavila@planalfa.es";"http://www.obav.es";"40.65599686889035#-4.69789981842041#88";"<p>Ocupa, dentro de la catedral, la Capilla del Cardenal y las Salas del Tesoro y de los Cantorales.</p>
<p>Los fondos de este museo se componen en su mayor&iacute;a de piezas escult&oacute;ricas, orfebrer&iacute;a y cantorales. Al lado de algunas obras atribuidas a Pedro de Mena, Fernando Gallego y Morales, podemos considerar como &uacute;nicas: un fragmento de tabla del s. XII, representando a San Pablo; la &quot;custodia&quot; de Juan de Arfe, y la extraordinaria colecci&oacute;n de cantorales del s. XV, de Juan de Carri&oacute;n.</p>
<p>Una de las obras m&aacute;s sobresalientes es un lienzo de El Greco en el que aparece retratado el obispo Garci B&aacute;nez de M&uacute;xica.</p>";"Ávila";"1260887607822";1260887614172;20130603;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1260887614172/DirectorioPadre";
"Centro de Interpretación del Misticismo";;;"Paseo del Rastro, s/n ? 05002 Ávila";"Paseo del Rastro, s/n";"05002";"Ávila";"1179297192481";;"920 222165";;;;"http://www.avilamistica.com";"40.65459689980922#-4.701848030090332#88";;"Ávila";"1260887607822";1261038980014;20130603;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1261038980014/DirectorioPadre";
"Vetonia Cultura y Naturaleza";;;"Torreón de los Guzmanes, Plaza del Corral de las Campanas, 1 ? 05001 Ávila";"Torreón de los Guzmanes, Plaza del Corral de las Campanas, 1.";"05001";"Ávila";"1179297192481";;"920 357102";;;;;"40.65521549442094#-4.701204299926758#88";;"Ávila";"1260887607822";1261038983271;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261038983271/DirectorioPadre";
"Museo de la Real Capilla";;;"Santuario de San Pedro de Alcántara ? 05040 Arenas de San Pedro Ávila";"Santuario de San Pedro de Alcántara";"05040";"Arenas de San Pedro";"1179297190675";;"920 370204";"920 372328";;"santuariosanpedro@gmail.com";;"40.214915000957#-5.078322887420654#94";"<p>Predomina el arte barroco de los ss. XVII y XVIII. Destacan, entre sus obras, el &quot;San Benito de Palermo&quot;, obra de Pedro de Mena, y el &quot;San Francisco de As&iacute;s&quot;, de S. Carmona. Son muy conocidos sus ricos bordados, como el &quot;terno&quot; del Marqu&eacute;s de la Ensenada o la &quot;casulla&quot; del Conde de Oropesa. Tambi&eacute;n sobresale por la nobleza y finura de su orfebrer&iacute;a.</p>";"Ávila";"1260887607822";1261038986996;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261038986996/DirectorioPadre";
"Casa de los Sexmos. Museo de la Historia de Arévalo ?Arevalorum?";;;"Casa de los Sexmos, Plaza de la Villa, s/n ? 05200 Arévalo (Ávila)";"Plaza de la Villa, s/n.";"05200";"Arévalo";"1179297191660";;"920 300001";;;"adl@ayuntamientoarevalo.es";;"41.066523#-4.719357#82";"<p>La Casa de los Sexmos serv&iacute;a para que se alojaran los sexmeros, para reunirse, para almacenar los bienes o enseres de la Tierra. En la actualidad se ha convertido en el Museo de la Historia de Ar&eacute;valo.</p>
<p>En este edificio fue ratificado el Tratado de Tordesillas en 1494, y desde sus balcones sexmeros, monarcas y regidores presenciaban corridas de toros y otros festejos.</p>
<p>En su antigua sala de juntas conserva un precioso artesonado recientemente restaurado por la escuela taller.<br />
&nbsp;</p>";"Ávila";"1260887607822";1261039013589;20130515;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039013589/DirectorioPadre";
"Museo de la Naturaleza ?Valle del Alberche?";;;"Urbanización Los Chopos, s/n ? 05110 El Barraco (Ávila)";"Urbanización Los Chopos, s/n.";"05110";"Barraco (El)";"1179297194015";;"920 281285";;;"museodelanaturaleza@elbarraco.org";"http://www.elbarraco.org";"40.47967144822859#-4.6527099609375#100";;"Ávila";"1260887607822";1261039020449;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039020449/DirectorioPadre";
"Museo de Adolfo Suárez y la Transición";;;"C/ Iglesia Vieja, s/n ? 05260 Cebreros (Ávila)";"C/ Iglesia Vieja, s/n.";"05260";"Cebreros";"1179297208629";;"91 8630133";"91 8630133";;"gerencia@museoadolfosuarezylatransicion.com";"http://www.museoadolfosuarezylatransicion.com";"40.45713585685654#-4.4655561447143555#94";"<p>El Museo Adolfo Su&aacute;rez y la Transici&oacute;n se crea para rendir homenaje al ex-presidente del Gobierno abulense, Adolfo&nbsp;Su&aacute;rez en su localidad natal, Cebreros; y a una de las etapas m&aacute;s importantes en la historia del siglo XX, la Transici&oacute;n espa&ntilde;ola, por su repercusi&oacute;n inmediata en la definici&oacute;n de nuestra sociedad contempor&aacute;nea.</p>
<p>La exposici&oacute;n cuenta con cinco bloques tem&aacute;ticos que abarcan la historia de Espa&ntilde;a del siglo XX hasta la muerte de Franco; la proclamaci&oacute;n del Rey y de Adolfo Su&aacute;rez como presidente del gobierno, las elecciones democr&aacute;ticas del 77 y 79; el 23F; y un homenaje a Su&aacute;rez, el hombre.</p>";"Ávila";"1260887607822";1261039022510;20130603;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1261039022510/DirectorioPadre";
"Museo Etnográfico de Padiernos";;;"05520 Padiernos (Ávila)";;"05520";"Padiernos";"1179297253769";;"920 265189";;;;"http://www.padiernos.net/webmuseo";"40.62111912603713#-4.845056533813477#82";;"Ávila";"1260887607822";1261039035209;20130502;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039035209/DirectorioPadre";
"Centro de Interpretación de la Naturaleza";;;"Plaza del Real, 20? 05200 Arévalo (Ávila)";"Plaza del Real, 20";"05200";"Arévalo";"1179297191660";;"920 301380";;;"adl@ayuntamientoarevalo.es";"http://www.ayuntamientodearevalo.es";"41.06603794211454#-4.719593524932861#100";;"Ávila";"1260887607822";1261041690653;20130603;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1261041690653/DirectorioPadre";
"Museo de la Evolución Humana";;;"Paseo Sierra de Atapuerca s/n ? 09002 Burgos";"Paseo Sierra de Atapuerca s/n.";"09002";"Burgos";"1179297447246";;"+34 902 024 246";;;"info@museoevolucionhumana.com";"http://www.museoevolucionhumana.com";"42.339093527461166#-3.697071075439453#100";;"Burgos";"1260887607899";1261039602196;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039602196/DirectorioPadre";
"Museo de Burgos";;"Directora: Marta Negro Cobo";"-, Casa Miranda, C/ Miranda, 13 ? 09002 Burgos";"Casa Miranda, C/ Miranda, 13.";"09002";"Burgos";"1179297447246";;"947 265 875";"947 276 792";;"museo.burgos@jcyl.es";"http://www.museoscastillayleon.jcyl.es/museodeburgos";"42.33827668557969#-3.7001609802246093#88";;"Burgos";"1260887607899";1261039698619;20130502;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039698619/DirectorioPadre";
"Monasterio de Santa María la Real de las Huelgas. Museo de Telas Medievales";"Bellas Artes. Histórico.";;"C/ Compases de las Huelgas, s/n ? 09001 Burgos";"C/ Compases de las Huelgas, s/n.";"09001";"Burgos";"1179297447246";;"947 201630";"947 279729";;;"http://www.3.planalfa.es/lashuelgas/, http://www.patrimonionacional.es/";"42.337134675259264#-3.7199878692626953#88";"<p>Los fondos del museo est&aacute;n compuestos por conjuntos de trajes y adornos de reyes y nobles de los siglos XII al XIV, as&iacute; como ajuares funerarios. Destaca el ajuar de la tumba de Fernando de la Cerda, as&iacute; como el hist&oacute;rico &quot;Pend&oacute;n de las Navas de Tolosa &quot; tomado por Alfonso VIII a los almohades.</p>
<p>El museo se ubica en el interior del monasterio de las Huelgas Reales, en lo que fue la antigua cilla del mismo.</p>";"Burgos";"1260887607899";1261039701435;20130527;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1261039701435/DirectorioPadre";
"Museo Sacro de Aranda de Duero";;;"Iglesia de San Juan, C/ San Juan, s/n ? 09400 Aranda de Duero (Burgos)";"Iglesia de San Juan, C/ San Juan, s/n.";"09400";"Aranda de Duero";"1179297429124";;"605201654";"947 510476";;"info@museosacro.es";"http://www.museosacro.es";"41.67185397187998#-3.6902904510498047#88";;"Burgos";"1260887607899";1261039712672;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039712672/DirectorioPadre";
"Museo del Monasterio Madres Dominicas";;;"Monasterio de Madres Dominicas, Plaza de Santo Domingo ? 09451 Caleruega (Burgos)";"Monasterio de Madres Dominicas, Plaza de Santo Domingo.";"09451";"Caleruega";"1179297449973";;"947 534009";;;;;"41.825388151989166#-3.486764430999756#100";;"Burgos";"1260887607899";1261039730576;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039730576/DirectorioPadre";
"Museo del Monasterio de San Pedro de Cardeña";;;"Monasterio de San Pedro de Cardeña, Ctra. de la Cartuja de Miraflores, km. 10 ? 09451 Castrillo del Val (Burgos)";"Monasterio de San Pedro de Cardeña, Ctra. de la Cartuja de Miraflores, km. 10.";"09451";"Castrillo del Val";"1179297456043";;"947 290033";"947 290 075";;"spc-secretaria@hotmail.com";"http://www.cardena.org";"42.31444085148643#-3.5866713523864746#100";;"Burgos";"1260887607899";1261039732006;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039732006/DirectorioPadre";
"Museo Etnográfico";;;"C/ La Bolera, 18 ? 09221 Montejo de San Miguel. Valle de Tobalina (Burgos)";"C/ La Bolera, 18.";"09221";"Valle de Tobalina";"1179297681171";;;;;"museomontejo@hotmail.com";"http://www.circulopyme.com/museomontejo/";"42.76517803626929#-3.271329402923584#94";;"Burgos";"1260887607899";1261039869451;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039869451/DirectorioPadre";
"Parroquial Parroquia de San Cristóbal Mártir";;;"Iglesia de San Cristóbal Mártir ? 09670 Quintanar de la Sierra (Burgos)";"Iglesia de San Cristóbal Mártir.";"09670";"Quintanar de la Sierra";"1179297602623";;"947 395426";;;;;"41.97721508853335#-3.043684959411621#88";;"Burgos";"1260887607899";1261039870844;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039870844/DirectorioPadre";
