Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido
Biblioteca Pública Municipal de Riaza;;Victoria Fernández del Pozo;C/ María Sanz Ramírez, 2. 40500 Riaza;C/ María Sanz Ramírez, 2;40500;Riaza;1,18E+12;;;;;riaza@siacajasegovia.com;;41.27903202153456#-3.4773874282836914#88;;Segovia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1191909671559/DirectorioPadre
Biblioteca Pública Municipal de Arroyo de la Encomienda;;Mayka Renedo Castrillo;;C/ Zarza, s/n. La Flecha;47195;Arroyo de la Encomienda;1,18E+12;;983 406 055;;983 407 593;;;41.615698998826346#-4.797248840332031#71;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1203344709433/DirectorioPadre
Biblioteca Pública de Burgos;;;;Plaza San Juan, s/n;9004;Burgos;1,18E+12;;947 256 419;;947 202 877;bpburgos@jcyl.es;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla66y33/1284212879414/_/_/_;42.34259274212382#-3.6957380175590515#112;;Burgos;1,28E+12;1,28E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284259518643/DirectorioPadre
Biblioteca Pública Municipal de Las Navas del Marqués;;María Encarnación González Labrador;C / Paco Segovia, 1. 05230 Las Navas del Marqués;C / Paco Segovia, 1;5230;Navas del Marqués (Las);1,18E+12;;918 970 347;;;biblionavas@gmail.com;http://es-es.facebook.com/biblionavas, http://twitter.com/biblionavas;40.60371414997791#-4.333671927452087#106;;Ávila;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1193120404106/DirectorioPadre
Biblioteca Palacio de los Serrano. Fundación Caja Ávila;;Laura Marcos;;Plaza de Italia, 1;5001;Ávila;1,18E+12;;920 212 223;;;fundacion@fundacioncajadeavila.es;http://www.fundacioncajadeavila.es;40.65571606349382#-4.695845246315002#112;;Ávila;1,28E+12;1,19E+12;20140822;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193641947556/DirectorioPadre
Biblioteca de la Universidad Católica de Ávila;;María Sonsoles Rodríguez Crespo;C/ Canteros s/n 05005 Ávila;C/ Canteros s/n;5005;Ávila;1,18E+12;;920 251 020 Ext. 131 y 33;;920 222 103;biblioteca@ucavila.es;https://www.ucavila.es/biblioteca/;40.664396066466764#-4.698543548583984#88;;Ávila;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1193727696464/DirectorioPadre
Biblioteca Pública Municipal de Belorado;;Mercedes Alvarez Alonso;;Plaza Mayor, 1;9250;Belorado;1,18E+12;;947 585 024;;;bibliotecabelorado@gmail.com;http://www.Belorado.es/turismo-y-ocio/bibliotecas;42.42098549043597#-3.1896400451660156#88;;Burgos;1,28E+12;1,19E+12;20140724;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193292151728/DirectorioPadre
Biblioteca Pública Municipal de Covarrubias;;Marina Gil Degorce;;C/ Monseñor Vargas, s/n;9346;Covarrubias;1,18E+12;;947 406 397;;;bibliotecacovarrubias@yahoo.es;;42.06003111183482#-3.51961612701416#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193292152121/DirectorioPadre
Biblioteca Pública Municipal de Quintana Martín Galíndez;;María José Mata Simón;;Plaza San Roque, 1 Bajo B;9210;Valle de Tobalina;1,18E+12;;947 358 010;;;bibliotecatobalina@hotmail.com;http://www.valledetobalina.com/pag/index2.html;42.794518909668035#-3.2689476013183593#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1193378559447/DirectorioPadre
Biblioteca Pública Municipal de Quintanar de la Sierra;;Belinda Blanco Pablo;;C/ Ernesto Sanz y Sanz, 3;9670;Quintanar de la Sierra;1,18E+12;;947 395 389 (Biblioteca), 947 395 427 (Ayto);;;bibliotecaquintanar@gmail.com;http://clubdelecturaquintanar.blogspot.com.es/2011/04/bienvenids-al-club-de-lectura.html, http://www.quintanardelasierra.es/turismo-y-ocio/bibliotecas;41.981984518008716#-3.040294647216797#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193378559579/DirectorioPadre
Biblioteca Pública Municipal de Trespaderne;;Elena López Valcárcel;;Plaza Mayor, s/n;9540;Trespaderne;1,18E+12;;947 308 633, 947 308 011 (Ayto.);947 308 561;;biblioteca@trespaderne.com;;42.818573401893836#-3.3899688720703125#65;;Burgos;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1193378559869/DirectorioPadre
Biblioteca Auxiliar del Archivo Histórico Provincial de Burgos;;Juncal Zamorano Rodriguez;;C/ Antonio de Cabezón, 8;9004;Burgos;1,18E+12;;947 255 623;;947 265 729;archivo.burgos@jcyl.es;http://www.archivoscastillayleon.jcyl.es/web/jcyl/ArchivosCastillaYLeon/es/Plantilla66y33/1259064196585/_/_/_;42.345445498809944#-3.692607879638672#88;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1200492359471/DirectorioPadre
Biblioteca de la Universidad de Burgos;;Director: Fernando Martín Rodríguez;;Plaza Infanta Doña Elena, s/n;9001;Burgos;1,18E+12;;947 258 000;947 258 043;;ububib@ubu.es;http://www.ubu.es/biblioteca/;42.3404020384584#-3.728914260864258#88;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1200492359703/DirectorioPadre
Biblioteca del Monasterio de Santo Domingo de Silos;;;;C/ Santo Domingo, 2;9610;Santo Domingo de Silos;1,18E+12;;947 390 049, 947 390 068;947 39 00 33;;info@bibliotecadesilos.es;http://www.bibliotecadesilos.es/es/portada/;41.966893394601335#-3.41949462890625#71;;Burgos;1,28E+12;1,20E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1202286007639/DirectorioPadre
"Biblioteca del I.E.S. ""Cardenal López de Mendoza"". Burgos";;;;Plaza Luis Martín santos, s/n;9002;Burgos;1,18E+12;;947 257 701, 947 260 555;947 257 649;;09001682@educa.jcyl.es;http://www.lopezdemendoza.es/bot.swf;42.35042512243457#-3.67218017578125#59;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1202288126767/DirectorioPadre
Biblioteca Pública Municipal de Gumiel de Izán;;Mª Carmen Reverte Bermejo;;Calle Santo Domingo de Gúzman, 17;9370;Gumiel de Izán;1,18E+12;;660 266 649, 947 544 111 (Ayuntamiento);;;bibliotecagumieldeizan@gmail.com;;41.770657#-3.6870463#88;;Burgos;1,28E+12;1,28E+12;20140317;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284311815620/DirectorioPadre
Biblioteca Pública Municipal de Sahagún;Biblioteca Pública Municipal de Sahagún;Carmen Sofía Cuenca Quintana;Plaza de Santiago, 13. 24320 Sahagún (León);Plaza de Santiago, 13;24320;Sahagún;1,18E+12;;987 782 169, 987 780 001 (Ayto.);987 781 000;;;;42.37114024462831#-5.029860734939575#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505199698/DirectorioPadre
Biblioteca Pública Municipal de Villablino;Biblioteca Pública Municipal de Villablino;Neli Alonso Meléndez;Plaza Luis Mateo Díez, s/n. 24100 Villablino (León);Plaza Luis Mateo Díez, s/n;24100;Villablino;1,18E+12;;987 471 866;;;;;42.93997008565237#-6.320925951004028#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505210036/DirectorioPadre
Biblioteca Pública Municipal de Toreno;Biblioteca Pública Municipal de Toreno;Pedro Seijas Díez;C/ Cervantes, 1. 24450 Toreno (León);C/ Cervantes, 1;24450;Toreno;1,18E+12;;987 533 062, 987 533 003 (Ayto.);;;bibliopmt@terra.es;;42.69798663201539#-6.512736082077026#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505232510/DirectorioPadre
