Código;Descripción
MB   ;Monografía BPM
OA   ;Música y multimedia
MA   ;Monografías y Partituras
ZA   ;Tridimensional prestable
MO   ;Monografías
QA   ;Partitura
MT   ;Monografías
HA   ;Microforma prestable
MU   ;Monografías
NP   ;No prestable
LU   ;Lupas
AU   ;Dispositivos de audio
RA   ;Revistas
MR   ;Monografía Bibliored
MOA  ;Monografía de Archivo de Villa
MM   ;Monografías Bibliometro
LE   ;Lector de Libro Electrónico
MN   ;Monografía Nueva Bibliometro
AUI  ;Audiovisuales Imprenta Municipal
MI   ;Monografías Imprenta Municipal
