ows_LinkTitle,ows_Zona,ows_Georeferencia,ows_CodigoPostal,ows_Direccion,ows_Telefono,ows_Fax,ows_Web,ows_FechaActualizacion,ows_Situacion,ows_ObservacionesSituacion,ows_DescripcionEspanol,ows_DescripcionIngles,ows_DescripcionAleman,ows_TipoActividad,ows_Actividad,ows_Email,ows_Municipio,ows_Image,ows_Recomendado,ows_DescripcionRuso,ows_DescripcionItaliano,ows_Dificultad,ows_Peligrosidad,ows_ComoLlegarEspanol,ows_ComoLlegarIngles,ows_ComoLlegarAleman,ows_ComoLlegarFrances,ows_ComoLlegarItaliano
"Bosque de Agua García - TACORONTE","Norte","(28.45435447421923, -16.399240493774414)","38350","Agua García","Oficina de Turismo 922 57 00 15. Centro de Información Patrimonial de Agua García 922 58 45 60.","Oficina de Turismo 922 57 00 15. Centro de Información Patrimonial de Agua García 922 58 45 60.","http://www.tacoronte.es","2011-05-03 10:06:16","Abierto","Bosque de Agua García en Tacoronte.","- Bosque Reserva de Laurisilva, incluido dentro del Paisaje Protegido de Las Lagunetas.","","","Monumento natural","Naturaleza y Monumentos","of_turismotacoronte@hotmail.com","Tacoronte","../PublishingImages/Bosque de Agua García.jpg","","","","Bajo","Bajo","Linea  de TITSA 054 Línea de TITSA 022","","","",""
"Volcán Chinyero","Sur","","38684","Pueblo del Valle de Arriba","922860348","922860348","http://www.santiagodelteide.org","2011-06-09 12:46:45","Abierto","","La erupación del Chinyero es la más reciente de las acaecidas en Tenerife y, por ello, la más estudiada y de la que más datos se tienen. Comenzó el 18 de noviembre de 1909 y duró diez días, avistándose la columna de piroclastos incandescentes y gases eyectados desde la isla de la Palma. Es la erupción que menor volumen de lava ha emitido de las erupciones históricas que se han producido en Canarias. Este volcán se alza a 1560m sobre el nivel del mar. Está situado al noroeste del pico viejo y al este de Valle Santiago. El área de influencia del volcán constituye la Reserva Especial del Chinyero","Chinyero volcano was the most recent of the six volcanic eruptions that have been recorded in Tenerife and the most widely studied. It started on the 18th of november 1909 and lasted ten days. The column of red hot pyroclasts and gases pouring out the volcano could be seen from the island of la Palma. This eruption was the smallest in terms of the volume of lava produced. of all the eruptions in the recorded history of the Canary Island. Mountain CVhinyero rises 1560 m above sea level and it is situated to the north west of pico viejo and to the east of Valle Santiago, the Canary island natural areas act has declared both the volcano itself and its area of influence the Mountain Chinyero Special Nature Reserve","Der Ausbruch des Vulkans Chinyero ist der jüngste der sechs historischen Eruptionen, die sich auf Teneriffa ereignet haben, und auch derjenige, der am gründlichsten studiert worden ist. Er begann am 18 November 1909  und dauerte zehn Tage. Die Säule der ausgestossenen glühenden Pyroklasten und Gase war sogar von der Insel la Palma aus zu beobachten. Es handelt sich übrigens um den Ausbruch, unter allen auf den Kanarischen Inseln verzeichneten historischen Ereignissen dieser Art, bei dem am wenigsten Lava ausgestossen wurde. Der Chinyero, der eine Höhe von 1560 m über dem Meeresspiegel erreicht, befindet sich im Nordwesten des Pico viejo, und östlich des Tals Santiago. In Rahmen des Gesetzes über Natursschutzgebiete der Kanarischen Inseln sind der gennante Vulkan sowie sein Einzugsgebiet zum Besonderen Naturreservat von Chinyero erklärt worden","Monumento natural","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","","Naturaleza","L' éruption du volcan Chinyero est la plus récente des six éruptions historiques qui ont été enregistrées à Tenerife, et aussi celle qui a fait l' objet des études les plus approfondies. Elle commença le 18 novembre 1909, et se prolongea pendant dix jours. La colonne de pyroclastes incandescents et de gaz éjectés était même visible depuis l' île de la Palma. En fait, il s´agit de l' éruption qui émit le moins de lave,parmi toutes les manifestations historiques de ce type relevées aux Canaries. Le Chinyero, qui se dresse jusqu'a une hauteur de 1560 mètres au-dessus du niveau de la mer, est situé au nord-ouest du Pico Viejo et à l' est de la  Vallée Santiago. Dans le cadre de la loi sur les espaces naturels des Canaries, aussi bien le volcan que toute sa zone d' influence ont été déclarés    Reserve naturelle spéciale du Chinyero","","Bajo","Bajo","","","","",""
"Reserva Natural Malpaís de Rasca ","Sur","","","","","","","2011-06-10 18:21:32","","","Comprende una superficie de 315,4 hectáreas. Este espacio comprende un valioso paisaje geológico integrado por varios conos volcánicos y sus correspondientes coladas basálticas que se extienden hasta el mar. La vista más completa de la Reserva se obtiene desde la cima de la Montaña Grande (154 metros de altitud) que junto con Montaña Aguzada y Montaña La Caraba constituyen los principales edificios volcánicos de la Reserva.     El malpaís contiguo a los mismos, y sus 3km de costa constituyen también un elemento geomorfológico y paisajísticamente destacados.    Los principales factores que han influido en la configuración de su paisaje vegetal son, además de las condiciones climáticas de la zona (escasas precipitaciones y altas temperaturas), que se trata de una franja ceñida al litoral con la presencia de agua salada en el ambiente. La existencia histórica del hombre en la zona se manifiesta por la cantidad de terrazas de cultivo y de vías de comunicación, que ha favorecido la instalación de endemismos que se han adaptado a este medio.       Así mismo, hay que destacar que todo el sector del Malpaís del espacio protegido y la extensión existente entre el mismo y la urbanización Palm-Mar, tiene un valor cultural y patrimonial excepcional. En el área está contrastada una importante presencia guanche, hasta el punto de ser considerada una de las principales joyas de la arqueología de Tenerife.   También destaca la presencia, dentro de la Reserva, del Faro, que data del año 1898, en el que se pretende albergar infraestructuras ligadas al espacio natural y a la zona arqueológica que actualmente se está tramitando para su declaración como Bien de Interés Cultural. El viejo Faro apenas se ve desde tierra, dado que la linterna sobrepasa un poco la altura de la azotea. El nuevo faro fue terminado en 1978, y su torre es un elemento visual característico del malpaís con sus franjas de colores blanco y rojo. ","","","Monumento natural","Naturaleza y Monumentos","","Arona","","","","","Bajo","Bajo","","","","",""
"Monumento Natural Roque de Jama","Sur","","","","","","","2011-06-10 18:24:26","","","   El monumento Natural de Roque de Jama, comprende 94,1 hectáreas que afectan a los términos municipales de Arona y San Miguel.  Está constituido por un peñasco de 781 metros de altura y se compone de materiales muy antiguos, por lo que algunos estudiosos lo han considerado, junto con el Roque de Vento y el Macizo de Adeje, como los restos de una paleoisla que afloraba sobre el mar en esta zona. Por tanto, se muestra como una huella de los paisajes más antiguos de la Isla de Tenerife.    El Roque de Jama es un pitón monolítico de altura considerable, con una forma de gran belleza y singularidad en su cúspide, que ha quedado al descubierto por la erosión. Ésta lo ha desmantelado en parte, mostrando su compleja estructura interna. Es el mayor de los roques de Valle San Lorenzo y puede ser visto desde cualquier punto de este valle.    La vegetación que alberga es un cardonal-tabaibal acompañado de especies como los balos y los cornicales, aunque en las paredes más abruptas y rocosas existen restos de vegetación termófila, con presencia de sabinas, acebuches, espineros, bicácaros, retama gris y cardones.    Dentro de la fauna que alberga el Monumento Natural destacan algunos vertebrados que buscan hábitats rocosos, cuevas y grietas, como lugar de cría o refugio. Encontramos la presencia de la paloma bravía, del cernícalo vulgar, de la lechuza común, del halcón tagorote, del mirlo, así como varias especies de murciélagos siendo el murciélago rabudo (Tadarida teniotis) el más relevante.    Entre los reptiles encontramos al lagarto Tizón, a la lisa común, al perenquén y en pequeños cursos de agua y embalses a la ranita meridional.    Es una zona apta para el vuelo con parapente, encontrándonos con un área de despegue y aterrizaje muy cerca al Monumento Natural. Se ha constatado también la realización de la actividad del salto del pastor por lo escarpado del terreno y de escalada en las paredes del domo.    Se han practicado diversas prospecciones y estudios arqueológicos, y dentro de este espacio se han localizado dos tipos de yacimientos, predominando los fondos de cabaña en donde se ha encontrado el material tradicional para este tipo de enclaves, como es cerámica e industria lítica, tanto en obsidiana como en basalto.    Sin embargo, lo que le confiere una especial entidad a los valores arqueológicos es la presencia de estaciones de grabados. Éstos, que llegan a concentrarse en este Espacio en siete paneles, presentan una importante diversidad de técnicas en su realización (picado discontinuo, abrasión, rayados, incisiones, etc.) así como una abundancia en los motivos (reticulados, ajedrezado, cruciformes, líneas paralelas, etc.) Es notorio señalar cómo este tipo de enclaves están protegidos por la Ley de Patrimonio Histórico del Gobierno de Canarias, otorgándoles la categoría de Bien de Interés Cultural.    ","","","Monumento natural","Naturaleza y Monumentos","","Arona","","","","","Bajo","Bajo","","","","",""
"Monumento Natural Montaña de Guaza","Sur","","","","","","","2011-06-10 18:25:19","","","  Básicamente está constituida por un cono volcánico, la Montaña de Guaza, que alcanza una altura máxima de 428 m, y las coladas lávicas derivadas de su erupción, que constituyen las llamadas Mesas de Guaza, llegando hasta el mar, donde la erosión ha labrado un acantilado de gran altura. Por tanto, el conjunto formado por la Montaña de Guaza y las Mesas de Guaza corresponde a un único fenómeno eruptivo.   Por su rica avifauna, la Montaña de Guaza está considerada como Área de Importancia para las Aves (IBA) y propuesta para su designación como Zona de Especial Protección para las Aves (ZEPA).    El Monumento Natural Montaña de Guaza comprende 725.7 hectáreas.     Los acantilados costeros albergan comunidades de plantas muy resistentes a la sal, tales como el tomillo marino (Frankenia laevis), la siempreviva (Limonium pectinatum) o la corregüela (Convolvulus fruticulosus). En las Mesas de Guaza aún persisten restos del cardonal-tabaibal y otras especies propias de las zonas bajas.  En la parte superior de la montaña y en los abruptos acantilados de su vertiente norte, se localizan varias especies raras, como el cerrajón (Sonchus canariensis) o el arbusto parolina intermedia.     En este espacio nidifican algunas aves marinas, como la gaviota patiamarilla, o la pardela cenicienta. Otras especies que pueden observarse son la Terrera marismeña, el camachuelo trompetero, o el alcaraván.    Entre la fauna, junto con las aves, destaca la presencia del Lagarto Moteado, especie protegida ya que está considerada en peligro de extinción.    La Montaña de Guaza también posee un alto valor desde el punto de vista del patrimonio histórico. En las Mesas de Guaza se han localizado algunos enterramientos prehispánicos y varias canteras cuyo origen se remonta aproximadamente a finales del Siglo XVII. De ellas se extraía loza chasnera para las iglesias y casas señoriales de Tenerife y La Gomera, así como para exportarla a algunas zonas del Caribe, como Cuba. ","","","Monumento natural","Naturaleza y Monumentos","","Arona","","","","","Bajo","Bajo","","","","",""
"Mirador de Cherfe","Sur","","38690","Carretera de Santiago del Teide a Masca","922860348","922860348","http://www.santiagodelteide.org","2011-06-14 10:19:37","Abierto","","Mirador situado en la degollada entre los núcleos poblacionales de Santiago del Teide y Masca, a 1100 mts de altitud. Desde él se tienen unas vistas fenomenales del Valle Santiago, el Teide y los farallones rocosos de Masca.","Degollada en Valle Santiago, is at a height of 1100 mts above sea level, offering splendid views over the valley that opens up below between rocky crags. You can see the hamlet of Masca, Pinar and Mount Teide.","Die Degollada vom Tal Santiago, die in einer Höhe von 1100 Metern über dem Meeresspiegel  liegt , ist ein wunderbarer Aussichtspunkt, von dem aus man das reizende Tal bewundern kann, das sich zwischen den Felsklippen öffnet.Er bietet auch wunderschöne Ausblicke auf den Weiler Masca, den Kiefernwald und den Teide.","Monumento natural","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","","Naturaleza","Depuis ce splendide mirador, qui se trouve dans la Vallée Santiago, à 1100 metres au-dessus du niveau de la mer, on peut admirer la charmante vallée qui s´ouvre entre les falaises rocheuses. Il offre également des vues merveilleuses sur le hameau de Masca, la pinède et le Teide.","Vicino a Valle Santiago, a 1100 metri sul livello del mare, uno splendido belvedere da dove si può ammirare la tranquilla valle che si apre tra faraglioni rocciosi e con vista ai borghi di Masca, Pinar e al Teide.","Bajo","Bajo","","","","",""
"Acantilado de los Gigantes","Sur","(28.2439908, -16.84139140000002)","38683","Muelle de los Gigantes","922860348","922860348","http://www.santiagodelteide.org","2011-09-21 10:18:12","Abierto","","En la costa del municipio se encuentra el impresionante acantilado, cayendo sobre el océano atlántico desde 500 mts de altitud. El núcleo turístico de los gigantes cuenta con un puerto deportivo que permite disfrutar de la pesca, el submarinismo y diferentes deportes náuticos así como el avistamiento de cetáceos, ya que es un lugar de interés comunitario dentro de la red natura 2000. El descubrimiento turístico del acantilado y el paisaje que le rodea fue fruto de una visita de un grupo de personas entre las que se encontraba Juan Manuel Capdevielle en 1960.","The impressive los gigantes cliffs are in the town of los gigantes, on the coast, They plunge 500 m vertically down into the atlantic ocean and the marina of los gigantes, including Juan Manuel Capdevielle , who realised the tourist potential of the cliffs. When he saw this wonderful sight, which he considered the best landscape he had seen in his life, he was convinced that the area had to become a tourist resort. So he got in touch with a german friend and others to set up agigansa, the first development company of the area. Mr Capdevielle also set up a weaher station here. For three years, he studied the temperature of the air of the sea , cloudy days, days of sunshine, the state of the sea, the wind, rain etc and he reached the conclusion that the climate here in los gigantes is one of the best in the world. He also designed the first tourist brochure of santiago del teide in four languages.","An der küste der Ortschaft los gigantes, da befinden sich die beeindruckenden Felswände von los gigantes, die aus 500 metern höhe senkrecht zum Atlantischen Ozean hinabstürzen.Da liegt auch der Yachthafen von los gigantes, wo man Sportangeln, Tauchen und viele andere Wassersportarten treiben kann.Die majestätischen Felswände wurden an einem heissen Tag im August 1960 von vier Personen ausgemacht, unter anderem Herrn Juan Manuel Capdeviell , der das Potential dieser Felsen als Fremdenverkehrsortentdeckte. Als er die schönste Landschaft erblickte, die er je zu Augen bekommen hatte, kam ihm der Gedanke, in dieser Zone müsse eine touristische Siedlung entstehen. Er setze sich mit  einem deutschen Freund und weiteren Bekannten in Verbindung , und Ergessnis dieser Zusammenkünfte war die Gründung von Agigansa, der Promoter-Gesellschaft der Anlage. Ausserdem betrieb Herr Capdevielle in der Siedlung drei Jahre lang eine Wetterwarte. Es beobachtete täglich die Entwicklung der Temperatur der Zone und des Wassers, die Bewölkung, die Sonneneinstrahlung,den Zustand des Meeres, die Winde, und er kam zu dem Schluss, dass das Klima von los Gigantes eines der günstigsten auf der ganzen Welt ist. Und ebenfalls ihm ist der Entwurf der ersten Fremdenverkehrsbroschüre in vier Sprachen über Santiago del Teide zu verdanken.","Monumento natural","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","../PublishingImages/Los gigantes.jpg","Naturaleza","C`est sir la côte de la localité de los gigantes que les impressionnantes Falaises de los gigantes se précipiten verticalement d `une altitude de 500 mètres vers l`Océan Atlantique. Et c`est là aussi que se trouve le port de plaisance de los gigantes, où l`on peut pratiquer la pêche , la plongée et bien d`autres sports nautiques. Les majestueuses Falaises furent remarquées, en une chaude journée du mois d`août 1960, par quatre personnes, dont M. Juan Manuel Capdevielle, qui découvrit le potentiel des Falaises en tant que site touristique. En effet, quand il apperçút  le paysage le plus merveilleux que ses yeux n`avaient jamais pu observer, l`idée lui vint que cette zone devrait se transformer en lieu touristique. Il se mit en contact avec un ami allemand et plusieurs  autres personnes, le fruit de ces réunions étant la création de agigansa, l`entreprise promotrice de l`urbanisation. En outre, M. Capdeville fit fonctionner, pendant trois ans, une station météorologique dans le complexe. Jour après jour, il observait la température de la zone et de la mer , les nuages, l`ensoleillement, l`état de la mer, les vents, les précipitations, et il arriva à la conclusion que le climat de los gigantes figurait parmi les plus favorables dans le monde entier. C`est lui aussi qui élabora la première brochure touristique en quatre langues sur Santiago del Teide.","Lungo la costa, nel borgo di los Gigantes, si trova l`impressionante Scogliera di los gigantes che precipita in verticale sull`Oceano Atlantico  con un`altezza di 500 metri. Vi si trova anche il porto turistico di los gigantes, dove si possono praticare la pesca, immersioni e qualsiasi tipo di sport acquatico . La maestosa Scogliera fu scoperta in un caloroso giorno del mese di agosto del 1960 da quattro  persone tra le quali si trovava il Signor Juan Manuel Capdevielle che, al vedere un cosi meraviglioso paesaggio che mai aveva visto in vita sua, pensè che quella zona dovesse convertirsi in una urbanizzazione turistica. Si mise quindi in contatto con un amico tedesco e con altre persone e venne costituita agigansa, che fu l `impresa promotrice dell`urbanizzazione. Nell+ urbanizzazione, il Signor Capdevielle organizzò anche una stazione meteorologica che per tre anni studiò, giorno per giorno, la temperatura della zona, del mare, la nuvolosità, i giorni soleggiati, lo stato del mare, il vento , la pioggia ed arrivò alla conclusione che il clima di los gigantes fosse uno dei più benevoli del planeta. Ideò anche il primo depliant turistico di Santiago del Teidein quattro lingue.","Bajo","Bajo","","","","",""
"Avistamiento de cetáceos","Sur","(28.2293797, -16.840908600000034)","38683","Playa la Arena, Puerto Santiago, los Gigantes","922860348","922860348","http://www.santiagodelteide.org","2011-06-17 11:54:47","Abierto","","Litoral muy rico reconocido como lugar de interés comunitario dentro de la red natura 2000 de la unión europea y que en breve será declarado parque natural de ballenas.","An outstanding coastline, declared a site of  community interest in the European Union´s Natura 2000 network. It is shortly to be declared a whole sanctuary too.","Dieser prächtige Küstenstreifen ist als Landschaft von gemeinschaftlichem Interesse innerhalb des Netzes Natura 2000 der Europäischen Union eingestuft , und wird dem nächst zum Natur und Meerespark für Wale ernannt werden.","Monumento natural","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","","Naturaleza","Ce littoral d`une grande richesse a été reconnu comme site d`interêt communautaire dans le cadre du réseau natura 2000 de l`union européenne , et il sera, d`ici peu, déclaré parc naturel marin pour les baleines.","Litorale molto ricco, riconosciuto come luogo d`interesse dalla rete natura 2000 dell`unione europea e che in breve tempo sarà dichiarato parco naturale marino delle balene.","Bajo","Bajo","","","","",""
"Cueva del Diablo","Norte","(28.397554015160214, -16.673299312242307)","","Costa de Santa Catalina","","","","2011-09-14 13:45:59","","","","","","Monumento natural","Naturaleza y Monumentos","","Guancha (La)","../PublishingImages/Cueva del Diablo.jpg","","","","Bajo","Bajo","","","","",""
"Montaña Amarilla","Sur","(28.011225019660124, -16.636219024658203)","","San Miguel de Abona. Límite con Costa del Silencio. Arona.","","","","2011-09-19 13:38:49","","","Montaña Amarilla es un Monumento Natural. Se trata de un cono volcánico cuyo origen está en un conjunto de procesos submarinos no frecuentes en la isla. En una de sus laderas existe una duna fósil que la erosión ha descubierto. Todo el conjunto es de enorme valor geológico, natural y paisajístico. Una  pequeña porción de este espacio natural se encuentra en el término municipal de Arona el resto pertenece al vecino Municipio de San Miguel. Localización: Se encuentra ubicada entre Costa del Silencio y Los Abrigos. Forma parte de una serie de conos volcánicos alineados que va en dirección SO que reciben el nombre de alineamiento de Guargacho. Montaña Amarilla es el cono más meridional.  Origen: Costa del Silencio (Arona) Destino: Montaña Amarilla - Playa Colmenares (San Miguel) Longitud: 5 km Duración: 3 horas Dificultad: Baja ","","","Monumento natural","Naturaleza y Monumentos","","San Miguel de Abona","","Deportes","","","Bajo","Bajo","","","","",""
"Almácigo de Arona, árbol monumento","Sur","(28.0976602, -16.680789799999957)","38640 ","Camino Morro Las Acebedas, Arona Casco","","","","2011-09-17 10:13:37","","","Un árbol monumental es aquel ejemplar que, bien por su tamaño, edad, belleza, especie o singularidad es considerado sobresaliente.  En Arona, en pleno casco histórico, podemos encontrar un ejemplar de almácigo centenario y una altura de 9 metros y está incluido en el Libro de Árboles Monumentales de Tenerife, elaborado por el Cabildo Insular de Tenerife. Ha quedado representado como uno de los elementos del escudo heráldico del municipio, lo que nos da una idea del vínculo que hay entre esta especie y la región que lo ha integrado en su patrimonio cultural ","","","Monumento natural","Naturaleza y Monumentos","","Arona","","","","","Bajo","Bajo","","","","",""
"Barranco de Chijas","Sur","","","Valle San Lorenzo - Arona ","","","","2011-09-17 10:14:53","","","La ruta comienza en Valle San Lorenzo, por el acceso al barrio de La Tosca. Una vez allí se inicia el ascenso al barranco de Chija por el cauce abrupto del mismo. Al final nos encontraremos con un salto que nos impide el paso y donde se localiza la galería del Salto del Chopo. Es en este punto donde comenzamos el camino de regreso sobre nuestros pasos a Valle San Lorenzo, después de 3 Km. ","","","Monumento natural","Naturaleza y Monumentos","","Arona","","Naturaleza","","","Bajo","Bajo","","","","",""
"Hijuela del Botánico","","","38300","C/ Tomás Pérez, 1 -","","","","2012-02-23 15:56:03","","Pequeño jardín de 3.000 m2 de superficie, dependiente del Jardín de Aclimatación. Ocupa  los antiguos  huertos de un convento clariso, actual edificio del Excmo. Ayuntamiento de la Villa de La Orotava, en pleno casco Historico Artistico de la Villa. Destacables  son los trabajos de forja de sus enverjados y puerta principal de entrada.  En él se cultivan especies de clima subtropical y templado sobre los que destaca un magnífico ejemplar de Drago (Dracaena draco ssp. Draco)  ","","","","Monumento natural","Naturaleza y Monumentos","","Orotava (La)","","","","","Bajo","Bajo","","","","",""
"Jardin Victoria","","","38300","Plaza de la Constitución.s/n.","","","","2012-02-23 15:55:14","","Jardín Masónico, único en Canarias, construido en el siglo XIX en estilo ecléctico. Edificado según el proyecto del arquitecto francés Adolph Coquet y propiedad originaria de los marqueses de La Quinta Roja de la familia Ponte.Pretendía albergar el cuerpo difunto del VIII Marqués de la Quinta Roja tras la negativa eclesiástica de darle una sepultura cristiana, debido a sus prácticas masónicas.  ","","","","Monumento natural","Naturaleza y Monumentos","","Orotava (La)","","","","","Bajo","Bajo","","","","",""
