ows_LinkTitle,ows_Zona,ows_Georeferencia,ows_CodigoPostal,ows_Direccion,ows_Telefono,ows_Fax,ows_Web,ows_FechaActualizacion,ows_Situacion,ows_ObservacionesSituacion,ows_DescripcionEspanol,ows_DescripcionIngles,ows_DescripcionAleman,ows_TipoActividad,ows_Actividad,ows_Email,ows_Municipio,ows_Image,ows_Recomendado,ows_DescripcionRuso,ows_DescripcionItaliano,ows_Dificultad,ows_Peligrosidad,ows_ComoLlegarEspanol,ows_ComoLlegarIngles,ows_ComoLlegarAleman,ows_ComoLlegarFrances,ows_ComoLlegarItaliano
"Basílica Ntra. Sra. de Candelaria","Sur","(28.3517301, -16.3703481)","38530","Plaza de la Patrona de Canarias","922 50 00 10 ","","","2013-03-01 09:31:16","Abierto","","Características: inaugurada el 1 de febrero de 1959. Declarada Bien de Interés Cultural por el Gobierno Canario; desde el 24 de enero del 2011 este templo fue elevado a la dignidad de Basílica Menor por el Papa Benedicto XVI.  Historia: la Basílica que hoy vemos ha sido construida en el mismo emplazamiento que tuvo la antigua. El primer templo data de 1672 aunque fue destruido en 1789 debido al fuerte incendio que se produjo en el convento contiguo. Sólo 170 años después pudo hacerse realidad el sueño de construir una nueva Basílica.  Descripción exterior: moderno, de estilo regionalista y con una mezcla ecléctica  de todos los estilos sucedidos en Canarias, desde el gótico hasta nuestros días. Con una capacidad para unas 5.000 personas, el proyecto fue redactado por el arquitecto Enrique Marrero Regalado. Cuenta con dos torres en la fachada principal de 35 metros y una lateral, a la altura del crucero, de 50 metros que remata un balcón canario. Posee dos puertas de acceso: la principal da al risco de la Magdalena, junto a la “Fuente de los Peregrinos”, y la lateral está paralela a la actual “Plaza de la Patrona de Canarias”.  Descripción interior: Su decoración interior es de orden dórico con una policromía simbólica que alude a los tonos de la vestimenta clásica de la Virgen. El cimborrio o cúpula destaca en este edificio de planta basilical. Posee 26 metros de altura y aporta gran luminosidad. Destaca porque en él se encuentran representados los escudos de las siete islas Canarias por el patronazgo que la Virgen posee sobre todo el Archipiélago. Situado en el centro del cimborrio sobresale el escudo del Obispo Pérez Cáceres, quién gracias a sus esfuerzos, consiguió hacer realidad la construcción de la Basílica de Candelaria.  Los murales del pintor gomero José Aguiar presiden junto con la Virgen de Candelaria el altar mayor. A su vez, el mismo autor decora el fondo de las naves laterales con los representantes religiosos más importantes de la isla: el Hermano Pedro (puerta acceso a la Sacristía) y José Anchieta (puerta acceso camarín). La imagen de la Virgen de Candelaria, de estilo neoclásico, es obra del escultor canario Fernando Estévez. Terminada en 1827, constituye una de las obras más relevantes para el artista por la trascendencia que tuvo en la sociedad isleña. El fondo de las dos naves laterales está decorado con los óleos del pintor isorano: Manuel Martín González: “Tierra de Chinguaro” y “Playa de Chimisay”.  ","","","Monumento histórico","Naturaleza y Monumentos","","Candelaria","../PublishingImages/23 _.jpg","Mayores","","","Bajo","Bajo","","","","",""
"Conjunto Escultórico Los Menceyes","Sur","(28.3517301, -16.3703481)","38530","Plaza de la Patrona de Canarias","","","http://www.candelaria.es","2011-05-06 11:38:38","Abierto","","Características: esculturas realizadas en bronce por el escultor José Abad y colocadas en la plaza en 1993. Representan a los reyes o “Menceyes” de los antiguos pobladores de Tenerife, los guanches. Fueron colocadas en memoria de la historia de este lugar y su relación con la Virgen de Candelaria. Historia: los guanches eran los primitivos habitantes de Tenerife. Su denominación proviene de la palabra compuesta Guan-Achinech que se puede traducir como “el hombre de la isla”. Los primeros colonizadores del Archipiélago eran bereberes provenientes del Norte de Africa. Por el momento, se ha datado el siglo IV a.C. la fecha más antigua del primer poblamiento de las islas.  Se sabe que en un período cercano a la Conquista, Tenerife se dividía en nueve territorios o menceyatos: Anaga, Tegueste, Tacoronte, Taoro, Icode, Daute, Adeje, Abona y Güímar. El mencey Bencomo, jefe de Taoro (actual Valle de la Orotava) y Añaterve, jefe de Güímar (actual municipio de Fasnia, Arafo, Candelaria, el Rosario, parte de Santa Cruz y Güímar) tuvieron un gran protagonismo en la isla.  ","","","Monumento histórico","Naturaleza y Monumentos","","Candelaria","../PublishingImages/101_4311_b_-PORTADA2.jpg","","","","Bajo","Bajo","","","","",""
"Cueva de Achbinicó ","Sur","(28.3504396, -16.36913900000002)","38530","Calle de San Blas","922 50 01 00","","","2011-05-09 10:27:26","Cerrado Temporal","En estos momentos, la cueva que se encuentra adosada a la Ermita de San Blas no se puede visitar ya que la ermita se encuentra cerrada para evitar el paso de peatones por la calle. Existe peligro de hundimiento de la calzada.","Características: cueva natural orientada al sol naciente que posee importancia arqueológica e histórica. Situada  en la calle de San Blas, anexa a la ermita. El topónimo aborigen “achbinicó” ha sido traducido por el filólogo J. Álvarez Delgado como “lugar del esquilo o del transquilo”. Sin embargo, otros especialistas como Ignacio Reyes han transcrito “he aquí el derrame”. Historia: fue usada por los aborígenes para el ordeño de las cabras aunque tras las últimas excavaciones arqueológicas, se descubrió que también la usaban para la realización de algún tipo de culto. La cueva fue el lugar elegido por los guanches para la adoración a la imagen de la Candelaria. Después de la conquista, el 2 de febrero de 1497, el adelantado Alonso Fernández de Lugo celebró aquí la primera fiesta de la Purificación o de las Candelas. Desde esa fecha, la cueva se abrió al culto católico como primer templo del Valle. ","","","Monumento histórico","Naturaleza y Monumentos","","Candelaria","../PublishingImages/Cueva Achbinico.jpg","","","","Bajo","Bajo","","","","",""
"Ermita de San Blas","Sur","(28.3527556, -16.3701274)","38530","Calle de San Blas, Candelaria","922 50 01 00","","","2011-05-09 10:28:26","Cerrado Temporal","","","","","Monumento histórico","Naturaleza y Monumentos","","Candelaria","","","","","Bajo","Bajo","","","","",""
"Convento de los Padres Dominicos","Sur","(28.3527556, -16.3701274)","38530","Plaza de la Patrona s/n Candelaria","922 50 29 22","","http://dominicosbetica.org/","2011-05-09 10:46:11","","","Características: este convento, construido después de catorce años del incendio que lo destruyó, fue restaurado hacia 1950 y cuenta con dos fachadas: una hacia la Plaza de la Patrona de Canarias cuyo estilo es neoclásico y otra, hacia el mar. Ésta última fachada posee tres plantas y un amplio balcón corrido. Historia: lugar de residencia de los Padres Dominicos, religiosos que desde 1530 están a cargo del cuidado de la Virgen de Candelaria.  ","","","Monumento histórico","Naturaleza y Monumentos","","Candelaria","../PublishingImages/81.jpg","","","","Bajo","Bajo","","","","",""
"Antiguo Ayuntamiento de Candelaria","Sur","(28.3527556, -16.3701274)","38530","Calle Antón Guanche s/n Candelaria","","","","2011-05-09 10:53:37","Cerrado Temporal","","Características: edificio contiguo a la Basílica. Se accede por la calle Antón Guanche aunque su fachada principal decorada con el balcón canario se observa desde la plaza. La construcción inicial ha sufrido remodelaciones y ha tenido diferentes usos a lo largo del tiempo: escuela de enseñanza, juzgado, ayuntamiento, etc. Actualmente se usa como sala de exposiciones temporales. Historia: construido en el siglo XVII como residencia temporal de los regidores de la isla durante las fiestas en honor a la Virgen.   ","","","Monumento histórico","Naturaleza y Monumentos","","Candelaria","","","","","Bajo","Bajo","","","","",""
"Iglesia de Santa Ana","Sur","(28.35208227322787, -16.37114050980017)","38530","Calle Santa Ana, s/n Candelaria","922 50 00 10","","","2011-05-09 12:51:12","","","Características: en su interior posee un rico patrimonio artístico como la imagen de Santa Ana, patrona del municipio, el Cristo Crucificado del siglo XVII o la Virgen del Carmen, protectora de los pescadores.  Historia: fundada por los vecinos del lugar en 1575, ha sufrido varias modificaciones y ampliaciones. Considerada la iglesia matriz de las parroquias del sureste de Tenerife.  ","","","Monumento histórico","Naturaleza y Monumentos","","Candelaria","../PublishingImages/SANTA ANA 2.jpg","","","","Bajo","Bajo","","","","",""
"Iglesia de San Fernando Rey","Sur","","38690","Calle la Iglesia, Santiago del Teide","922860348","922860348","http://www.santiagodelteide.org","2011-06-14 10:05:15","Abierto","","Situada en el casco de Santiago del Teide, fue construida por el Señor del Valle, Don Fernando del Hoyo en 1679, es uno de los edificios de mayor valor arquitectónico del municipio. Destacan sus bóvedas de media naranja y las obras de arte que contiene en su interior, destacando varias imágenes del s XVIII.","In Valle Santiago, with 18tha century figures and a dome like a half orange, built by the lord of the valley, Fernando del Hoyo  and later reformed.","Diese Kirche, mit  Bildnissen aus dem 18. Jahrhundert und einer Kuppel in Halbkugelform, die sich im Tal Santiago befindet, liess der Herr des Tales, Don Fernando del Hoyo, errichten.Sie wurde im Laufe der Zeit mehrmals umgebaut.","Monumento histórico","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","","Naturaleza","C´est le Seigneur de la Vallée, Don Fernando del Hoyo, qui fit construire cette église, située dans la Vallée Santiago. Elle contient des images du 18 ème siècle et a une coupole de profil semi-circulaire. Au fil du temps, elle fut réformée à plusieurs reprises.","A Valle Santiago, vi si possono ammirare immagini risalenti al XVIII secolo e la cupola a mezza arancia costruita dal Signore del Valle, Don Fernando del Hoyo. Si possono apprezzare restauri successivi.","Bajo","Bajo","","","","",""
"Casa del Patio","Sur","(28.2961444, -16.814611300000024)","38690","Calle la Iglesia, Santiago del Teide","922860348","922860348","http://www.santiagodelteide.org","2011-06-14 12:44:51","Abierto","","Situada en el casco de Santiago del Teide, es una vivienda señorial canaria construida entre 1665 y 1668 por el señor del valle santiago. Fué el edificio en torno al cual se basó la actividada del señorio. Destacan en ella sus lagares, el granero, la bodega y la cocina fiel reflejo de la época y estilo de vida del s XVII en el municipio. Abierta al público en noviembre de 2009, acoge un centro de interpretación del volcán chinyero, asi como servicios de restauración y ocio que hacen de este tesoro arquitectónico una visita obligada para el visitante.","A leading attraction of Valle Santiago is la casa del patio, a stately Canary island house built between 1665-1668 , which belonged to the Lord of the Valley. The house is an architectural legacy that, together with its wine presses, threshing grounds and barns, clearly defines how la Villa de Santiago del Teide was ruled as a feudal manor.","Im Tal Santiago ist ganz besonders das Haus mit Hof hervorzuheben. Es handelt sich um ein kanarisches Herrenhaus, das in den Jahren 1665-1668 errichtet wurde, und Eigentum des Herren des Tals war. Es ist architektonisch sehr aufschlussreich, denn die ganze Gestaltung dieses Baus, mit seinen Keltern, Tennen und Kornkammern, spiegelt genau die Herrschaftsformen wider, die einst in der Ortschaft Santiago del Teide üblich waren.","Monumento histórico","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","","Naturaleza","A Valle Santiago, il faut relever tour particulièrement la Demeure à cour. Il s´agit d´une habitation seigneuriale canarienne, qui fut construite dans les années 1665-1668 et appartenait ","A Valle Santiago possiamo ammirare la casa del patio, dimora signorile edificata tra il 1665 e il 1668. Era proprietà del signore del Valle e costituisce una testimonianza architettonica che con le sue cantine, aie e granai, definisce chiaramente il carattere di signoria sul quale si reggeva il municipio della villa di Santiago del Teide.","Bajo","Bajo","","","","",""
"Centro Alfarero y Museo Etnográfico Cha Domitila","Sur","(28.2677553, -16.807752700000037)","38690","Carretera General de Arguayo, Arguayo","922863465","922860348","http://www.santiagodelteide.org","2011-06-15 13:52:02","Abierto","","Se encuentra situado en Arguayo, un pueblo fundado a partir de un asentamiento aborigen . El centro ocupa una vivienda de arquitectura tradicional canaria con planta en forma de L que rodea un patio central con fuente. El museo y taller  Cha Domitìla fue diseñado por Luis Ibáñez, asiduo colaborador del artista canario César Manrique. Don Luis Ibáñez de forma desinteresada convirtió una vivienda canaria en ruinas en un centro de visitantes que constituye un referente en cuanto a alfarería tradicional canaria. El centro abrió sus puertas en 1986 y en él se puede estudiar la evolución de la alfarería guanche a  la popular que se produjo en Arguayo. Lo aislado del lugar permitió conservar una tipología fiel a la tradición aborigen. Estas circunstancias convierten al centro alfarero en heredero directo de la alfarería tradicional y en un elemento clave para el estudio de la evolución de la alfareria aborigen, de procedencia bereber, hasta llegar a la alfarería popular canaria. En el centro se producen distintas piezas realizadas a mano, siguiendo estrictamente la técnica tradicional , utilizando como materias primas barro, agua, arena de volcán, almagre y aceite. El proceso culmina con la cocción de las piezas en un horno de leña de una cámara.","It is situated in Arguayo, a village that was founded by Guanche herdsmen.The building that houses this pottery centre and museum is built in traditional canary island style, in an L shape with a central courtyard and a fountain. The materials used to build the house originally were canary island stone and typical tiles.The Cha Domitila museum and workshop was designed by Luis Ibáñez , who now lives in Tias- Lanzarote. He worked regularly with César Manrique up to the time of his death, in many of the works he created in Lanzarote. He converted a house in ruins into a traditional style Canary Island house, in his own time and at his own expense, combining the beauty of the environment with the practical utility of the house´s purpose. The centre was created on the 15th of May 1986, when the Cha Domitila museum and workshop was opened. This centre is ideal for studying the evolution of Guanche pottery into modern day, popular pottery because the area is so isolated and, therefore, the local inhabitants have not enjoyed all the advances of modern life. For this reason, for centuries, the local inhabitants have faithfully reproduced the forms and styles of pottery used by the Guanche people. A total command of the techniques and proportions used in the different kinds of clay, know-how that was passed down from one generation to the next , gave the pieces consistency, and they adapted perfectly to the use they were designed for. These two circumstances have not only made the Arguayo pottery centre the direct heir of guanche pottery , they have also turned it into a key element in the study of the development of aboriginal pottery, of berber origin, until it evolved into popular canary island pottery. The basic characteristic of the centre is its complete respect for traditional techniques, from all the components used: clay, water, volcanic sand, red ochre and oil, to the techniques too: making each piece entirely by hand, followed by rubbing and cutting the pieces with barrel hoops, smoothing the pieces with pebbles from the sea, tha application of red ochre impregnated with oil, drying, decoration, if any, and baking in a single chamber kiln. ","Es befindet sich in der Ortschaft Arguayo, einem von Guanchen-Hirten gegründeten Weiler. Das Gebäude, in dem dieses Zentrum und Museum untergebracht ist, ist ein Wohnhaus im traditionellen kanarischen Baustil, in L-Form, mit zentralem Innenhof und Brunnen. Es wurde in kanarischen Gestein errichtet und ist mit den typischen Dächern  der Gegend bedeckt. Das Museum und Atelier Cha Domitila wurde von Herrn Luis Ibáñez entworfen. Er lebt derzeit in Tias, auf Lanzarote , und arbeitete an vielen auf Lanzarote ausgeführten Werken bis zu dessen Tod eng mit César Manrique zusammen . Völlig uneigennützig und altruistisch machte sich Ibáñez daran, hier das, was nur noch Trümmer waren, in ein Haua im herkömmlichen Kanarischen Stil zu verwandeln, wo Anmut des Umfeldes mit dem praktischen Zweck, dem es dienen soll, harmonisch einhergehen. Das Zentrum nahm seine Tätigkeiten am 15 Mai 1986 auf, mit der Eröffnung des Museums und Ateliers Cha Domitila. Es ist ein Ort von grossem Interesse, denn man kann dort genauestens die Entwicklung der Töpferei, von derjenigen der Guanchen bis zu der volkstümlichen hin, verfolgen. Aufgrund der Abgeschiedenheit des Ortes erfolgte hier nämlich die Akkulturierung der Einwohner erst sehr viel später als anderswo, und somit wurden über Jahrhunderte hinweg die bei den Guanchen üblichen Formen und Typologien getreu beibehalten. Die Handwerker beherrschten perfekt die aud die unterschiedlichsten Lehmarten anzuwendende Technik und Proportion. Diese von Generation zu Generation übermittelte Technik verlieh den Objekten den notwendigen Zusammenhalt, und diese waren genau an den Zweck angepasst, dür den sie bestimmt waren. Aus diesen Gründen war, und ist, das Töpfereizentrum von Arguayo nicht nur ein direkter Nachfahre der Töpfereikunst des Guanchenvolkes, sondern es stellt auch ein Schlüsselelement für das Studium der Entwicklung der Töpferei der Ureinwohner, berberischen Ursprungs, bis hin zur volkstümlichen kanarischen Töpferei, dar. Am Wesentlichsten in dem  Zentrum ist, dass sich die Arbeit strikt an die herkömmliche Verfahren hält: Von den bei der Ausarbeitung der Stücke verwendeten Elemente, nämlich Lehm, Wasser, Vulkansand, Ocker und Öl, über das Drehen der Objekte ausschliesslich mit der Hand, das Abkratzen und Schneiden mit Fassreifen, das Schleifen und Polieren mit Meereskieseln, die Anwendung von mit Öl imprägniertem Ocker, das Trocknen, die Verzierungen, soweit vorhanden, bis zu dem Brennen in einem Ofen mit nur einer Kammer.","Monumento histórico","Naturaleza y Monumentos","turismo@santiagodelteide.es","Santiago del Teide","","Autóctonos","Il se trouve dans la localité de Arguayo, un hameau fondé par des bergers guanches. La maison dans laquelle est installé le centre et musée est une demeure érigée dans le style architectural traditionel canarien, en forme de L, avec une cour intérieure centrale et une fontaine. Elle fut bâtie en pierre canarienne, et elle est dotée des typiques toits dela région. Le musée et atelier Cha Domitila a été conçu par M Luis Ibáñez. Actuellement, il vit á Tias, Lanzarote. Il collabora étroitement avec César Manrique , jusqu` á la mort de ce dernier, lors de la réalisation de nombreux ouvrages á Lanzarote, De façon tour á fait désintéressée et altruiste, Ibañez se mit á transformer ce qui n`étaient plus que des ruines en une habitation de style traditionnel canarien, oú la beauté de l´environnement naturel se marient avec l`usage pratique auquel elle est destinée. Le centre entama ses activités le 15 mai 1986, avec l`inauguration du musée et atelier Cha Domitila. Il s`agit d`un site d`un grand intérêt, car on peut y suivre de près l`évolution de la poterie, depuis celle des Guanches jusqu` á l`artisanat populaire. En effet, vu l`isolement de l`endroit, l`acculturation des habitants s`y vit considérablement retardée, ce qui a permis de maintenir fidèlement, pendant de longs siècles, les formes et les typologies employées par le peuple guanche. Les artisans maîtrisaient parfaitement la technique et la proportion à appliquer pour les plus divers types d`argile. Cette technique, transmise de génération en génération, conférait une consistance considérable aux pièces, et celles-ci étaient parfaitement adaptées à l`usage auxquels elles étaient destinée. Le centre entama ses activités le 15 mai 1986, avec l`inauguration du musée et atelier Cha Domitila. Il s`agit d`un site d`un grand intérêt , car on peut y suivre de près l`evolution de la poterie, depuis celle des Guanches jusqu` à l`artisanat populaire. En effet, vu l`isolement de l`endroit, l`acculturation des habitants s`y vit considérablement retardée, ce qui a permis de maintenir fidèlement, pendant de longs siècles, les formes et les typologies employées par le peuple guanche. Les artisans maîtrisaient parfaitement la technique et ka proportion à appliquer pour les plus divers types d`argile. Cette technique, transmise de génération en génération, conférait une consistance considérable aux pièces, et celles-ci étaient parfaitement adaptées à l`usage auxquels elles étaient destinées. Pour ces raisons, le centre de poterie de Arguayo était, et est toujours, non seulement un héritier direct de la poterie du peuple guanche, mais il constitue aussi un élément clé lors de l`étude de l`évolution de la poterie autochtone, d`origine berbère, vers la poterie populaire canarienne. La caractéristique la plus remarquable dans ce centre, c`est le respect absolu des procédés traditionnels: Depuis les éléments employés lors la fabrication des objets, à savoir l`argile, l`eau, le sable de volcan, l`ocre et l`huile, en passant par l`élaboration des pièces exclusivement à la main, la raclage et le découpage avec des anneaux de fûts, le lissage et polissage à l`aide de galets de mer, l`applicatiion de l`ocre imprégné d`huile, le séchage, le cas échéant la décoration, jusqu`à la cuisson dans un four à une seule chambre. ","","Bajo","Bajo","","","","",""
