INCIDENTID,TYPE,DESCRIPTION,DATE,DISTRICT,STATE,ADDRESS,asWKT
140718359,NON_CRIMINAL,"AIDED CASE, MENTAL DISTURBED",2014-12-29,SOUTHERN,PSYCHOPATHIC CASE,800.0 Block of BRYANT ST,POINT(37.7752316978411 -122.403742962696)
140799086,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",2014-12-29,BAYVIEW,NONE,0.0 Block of MARIST CT,POINT(37.7330155230388 -122.378161525966)
140779696,LARCENY_THEFT,GRAND THEFT FROM UNLOCKED AUTO,2014-12-29,MISSION,NONE,14TH ST / GUERRERO ST,POINT(37.768005416412 -122.424412715064)
140667875,LARCENY_THEFT,GRAND THEFT FROM A BUILDING,2014-12-29,MISSION,NONE,300.0 Block of SHOTWELL ST,POINT(37.7634230809367 -122.416168070213)
140662944,DRUG_NARCOTIC,POSSESSION OF METH-AMPHETAMINE,2014-12-29,CENTRAL,NOT PROSECUTED,100.0 Block of DRUMM ST,POINT(37.7945995681894 -122.396548334649)
140659872,OTHER_OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",2014-12-29,BAYVIEW,"ARREST, CITED",JAMESTOWN AV / GRIFFITH ST,POINT(37.7161593024545 -122.390002261926)
140686706,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,TARAVAL,NONE,2200.0 Block of SLOAT BL,POINT(37.7338774289738 -122.49823783722)
140744859,VEHICLE_THEFT,STOLEN AUTOMOBILE,2014-12-29,INGLESIDE,NONE,0.0 Block of SANTAYSABEL AV,POINT(37.7273203857686 -122.439240739766)
146163790,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(37.7752316978411 -122.403742962696)
140823679,LARCENY_THEFT,GRAND THEFT FROM PERSON,2014-12-29,CENTRAL,NONE,STOCKTON ST / WASHINGTON ST,POINT(37.794940588058 -122.408083155369)
146178614,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,PARK,NONE,700.0 Block of DIVISADERO ST,POINT(37.776515733318 -122.438068309017)
140637931,NON_CRIMINAL,TRAFFIC ACCIDENT,2014-12-29,RICHMOND,"ARREST, BOOKED",5800.0 Block of GEARY BL,POINT(37.7801818936869 -122.481743758849)
140684095,DRUG_NARCOTIC,POSSESSION OF MARIJUANA,2014-12-29,MISSION,"ARREST, CITED",FOLSOM ST / 14TH ST,POINT(37.768536012388 -122.41561633832)
140646772,NON_CRIMINAL,"AIDED CASE, MENTAL DISTURBED",2014-12-29,SOUTHERN,PSYCHOPATHIC CASE,800.0 Block of MARKET ST,POINT(37.7844712114052 -122.407516573108)
140818200,ROBBERY,"ROBBERY, BODILY FORCE",2014-12-29,INGLESIDE,NONE,EDINBURGH ST / GENEVA AV,POINT(37.7145773610214 -122.436992419921)
140782439,NON_CRIMINAL,"AIDED CASE, MENTAL DISTURBED",2014-12-29,TARAVAL,PSYCHOPATHIC CASE,400.0 Block of PLYMOUTH AV,POINT(37.7144999231677 -122.456023559379)
140815751,LARCENY_THEFT,PETTY THEFT FROM A BUILDING,2014-12-29,MISSION,NONE,3100.0 Block of 16TH ST,POINT(37.7648330327668 -122.423830085638)
146161396,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,SOUTHERN,NONE,HAWTHORNE ST / FOLSOM ST,POINT(37.7846680654235 -122.397816589532)
140718672,LARCENY_THEFT,PETTY THEFT BICYCLE,2014-12-29,RICHMOND,NONE,500.0 Block of JOHNFKENNEDY DR,POINT(37.7724965522563 -122.465838183623)
140664542,LARCENY_THEFT,PETTY THEFT FROM A BUILDING,2014-12-29,NORTHERN,NONE,2000.0 Block of CHESTNUT ST,POINT(37.8007624363123 -122.437553219091)
140647463,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,2014-12-29,BAYVIEW,"ARREST, BOOKED",1200.0 Block of PHELPS ST,POINT(37.7375468553188 -122.393295845763)
140740506,FORGERY_COUNTERFEITING,"FORGERY, NOTES",2014-12-29,MISSION,NONE,1300.0 Block of NATOMA ST,POINT(37.7673197757215 -122.418500030259)
140749172,DRUG_NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,2014-12-29,INGLESIDE,"ARREST, BOOKED",1200.0 Block of PLYMOUTH AV,POINT(37.7246245165943 -122.456400194674)
146162457,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,PARK,NONE,2600.0 Block of GEARY BL,POINT(37.7823643134787 -122.447204009307)
140808035,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,NORTHERN,NONE,1500.0 Block of EDDY ST,POINT(37.7813547204507 -122.433175120572)
140679018,NON_CRIMINAL,"AIDED CASE, MENTAL DISTURBED",2014-12-29,INGLESIDE,PSYCHOPATHIC CASE,0.0 Block of INA CT,POINT(37.7239418919587 -122.424009678147)
140710656,OTHER_OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",2014-12-29,PARK,"ARREST, CITED",15TH ST / CASTRO ST,POINT(37.7657256987791 -122.435471454169)
140695688,DRUG_NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,2014-12-29,BAYVIEW,NONE,1000.0 Block of PALOU AV,POINT(37.7284777026113 -122.381283013058)
140783324,SUSPICIOUS_OCC,SUSPICIOUS ACT TOWARDS FEMALE,2014-12-29,SOUTHERN,NONE,1400.0 Block of MARKET ST,POINT(37.7751766382128 -122.419279295168)
140655789,VEHICLE_THEFT,STOLEN AND RECOVERED VEHICLE,2014-12-29,MISSION,NONE,500.0 Block of NOE ST,POINT(37.7607152640222 -122.432807252365)
140723223,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,CENTRAL,NONE,200.0 Block of COLUMBUS AV,POINT(37.7972073849134 -122.405933896114)
140817252,MISSING_PERSON,FOUND PERSON,2014-12-29,PARK,LOCATED,700.0 Block of BAKER ST,POINT(37.7776669233708 -122.44169572254)
140679397,NON_CRIMINAL,LOST PROPERTY,2014-12-29,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(37.7751775060495 -122.403675173997)
140678054,NON_CRIMINAL,LOST PROPERTY,2014-12-29,TENDERLOIN,NONE,GOLDEN GATE AV / JONES ST,POINT(37.7820729312326 -122.412224164736)
140786102,ROBBERY,ROBBERY ON THE STREET WITH A GUN,2014-12-29,PARK,NONE,BRODERICK ST / ELLIS ST,POINT(37.7813095572975 -122.440785268816)
140724566,OTHER_OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",2014-12-29,INGLESIDE,"ARREST, CITED",MISSION ST / 30TH ST,POINT(37.7423752245552 -122.421970919029)
140767475,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,2014-12-29,SOUTHERN,"ARREST, BOOKED",6TH ST / MARKET ST,POINT(37.7822305870333 -122.41029351969)
140769409,SUSPICIOUS_OCC,SUSPICIOUS OCCURRENCE,2014-12-29,INGLESIDE,NONE,5600.0 Block of MISSION ST,POINT(37.7106286768629 -122.447651542491)
146184376,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,SOUTHERN,NONE,MABINI ST / FOLSOM ST,POINT(37.7826462926668 -122.400377994049)
140823124,ROBBERY,ROBBERY ON THE STREET WITH A GUN,2014-12-29,TARAVAL,NONE,0.0 Block of GENEVA AV,POINT(37.7230346346336 -122.452317735146)
140667239,VEHICLE_THEFT,STOLEN AUTOMOBILE,2014-12-29,INGLESIDE,NONE,1100.0 Block of GIRARD ST,POINT(37.7187706443959 -122.400889624037)
140816969,OTHER_OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",2014-12-29,BAYVIEW,"ARREST, CITED",EVANS AV / PHELPS ST,POINT(37.7429830266838 -122.388456834121)
140909138,NON_CRIMINAL,LOST PROPERTY,2014-12-29,NORTHERN,NONE,1500.0 Block of CALIFORNIA ST,POINT(37.7908179146063 -122.419070611967)
140827057,LARCENY_THEFT,GRAND THEFT PICKPOCKET,2014-12-29,SOUTHERN,NONE,MARKET ST / KEARNY ST,POINT(37.7876430502097 -122.403434086745)
140748362,OTHER_OFFENSES,TAMPERING WITH A VEHICLE,2014-12-29,NORTHERN,NONE,2200.0 Block of NORTHPOINT ST,POINT(37.8028537046437 -122.443648296371)
140699248,ASSAULT,BATTERY,2014-12-29,SOUTHERN,NONE,4TH ST / MISSION ST,POINT(37.7844788539041 -122.404270179486)
140752341,OTHER_OFFENSES,LOST/STOLEN LICENSE PLATE,2014-12-29,INGLESIDE,NONE,100.0 Block of TERESITA BL,POINT(37.7434726275562 -122.451300384533)
140756810,MISSING_PERSON,FOUND PERSON,2014-12-29,PARK,JUVENILE BOOKED,0.0 Block of BELGRAVE AV,POINT(37.7595625663509 -122.448175071686)
146168900,LARCENY_THEFT,GRAND THEFT OF PROPERTY,2014-12-29,NORTHERN,NONE,500.0 Block of HAYES ST,POINT(37.7766537825901 -122.425045032921)
140718161,ASSAULT,BATTERY,2014-12-29,NORTHERN,NONE,VANNESS AV / PINE ST,POINT(37.7894107633754 -122.422139511488)
140769697,ROBBERY,"ROBBERY, BODILY FORCE",2014-12-29,CENTRAL,NONE,STOCKTON ST / PACIFIC AV,POINT(37.796703927874 -122.408433097286)
140652315,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",2014-12-29,SOUTHERN,NONE,MARKET ST / VANNESS AV,POINT(37.7751462916836 -122.419257894814)
140681574,OTHER_OFFENSES,TRAFFIC VIOLATION ARREST,2014-12-29,BAYVIEW,"ARREST, BOOKED",1700.0 Block of LASALLE AV,POINT(37.7378813506295 -122.391045481943)
140645815,OTHER_OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",2014-12-29,MISSION,"ARREST, CITED",25TH ST / MISSION ST,POINT(37.7506402939526 -122.418289276866)
140821043,OTHER_OFFENSES,POSSESSION OF BURGLARY TOOLS,2014-12-29,MISSION,"ARREST, BOOKED",STEVENSON ST / 14TH ST,POINT(37.7681976977542 -122.42121339889)
140689089,ROBBERY,"ROBBERY, ARMED WITH A GUN",2014-12-29,TENDERLOIN,NONE,EDDY ST / MASON ST,POINT(37.7843478513448 -122.409313111431)
140749257,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,2014-12-29,MISSION,"ARREST, BOOKED",2000.0 Block of MARKET ST,POINT(37.7691618402243 -122.426893114012)
140730585,LARCENY_THEFT,GRAND THEFT PICKPOCKET,2014-12-29,CENTRAL,NONE,BEACH ST / STOCKTON ST,POINT(37.8078911906523 -122.410690675854)
140824934,MISSING_PERSON,MISSING ADULT,2014-12-29,MISSION,LOCATED,3500.0 Block of CESAR CHAVEZ ST,POINT(37.7480661948915 -122.420886575514)
140656094,LARCENY_THEFT,GRAND THEFT FROM A BUILDING,2014-12-29,NORTHERN,"ARREST, BOOKED",1200.0 Block of VANNESS AV,POINT(37.7866302653205 -122.421531974887)
146170438,OTHER_OFFENSES,OBSCENE PHONE CALLS(S),2014-12-29,BAYVIEW,NONE,300.0 Block of HOLYOKE ST,POINT(37.7268274130374 -122.40859635748)
140659101,LIQUOR_LAWS,UNLAWFUL TRANSPORTATION OF ALCOHOL,2014-12-29,INGLESIDE,"ARREST, BOOKED",4400.0 Block of MISSION ST,POINT(37.7271871916999 -122.432954114381)
140749075,DRUG_NARCOTIC,SALE OF MARIJUANA,2014-12-29,BAYVIEW,"ARREST, BOOKED",3RD ST / QUESADA AV,POINT(37.7332252033101 -122.391245623019)
140698842,LARCENY_THEFT,GRAND THEFT FROM A BUILDING,2014-12-29,CENTRAL,NONE,200.0 Block of STOCKTON ST,POINT(37.7875796351726 -122.406552041902)
140641368,WARRANTS,WARRANT ARREST,2014-12-29,BAYVIEW,"ARREST, BOOKED",4700.0 Block of 3RD ST,POINT(37.7355426324532 -122.390478375213)
140769835,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(37.7752316978411 -122.403742962696)
140659361,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",2014-12-29,RICHMOND,NONE,2000.0 Block of BAKER ST,POINT(37.7896314020967 -122.444297271597)
140675298,OTHER_OFFENSES,LOST/STOLEN LICENSE PLATE,2014-12-29,RICHMOND,NONE,4800.0 Block of CALIFORNIA ST,POINT(37.7847112223012 -122.469229589958)
140786942,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,2014-12-29,SOUTHERN,NONE,1500.0 Block of MARKET ST,POINT(37.7748462936778 -122.4196972182)
140736317,NON_CRIMINAL,LOST PROPERTY,2014-12-29,MISSION,NONE,400.0 Block of CASTRO ST,POINT(37.7619045443841 -122.435065975142)
140659725,VEHICLE_THEFT,STOLEN TRUCK,2014-12-29,TARAVAL,NONE,0.0 Block of FORESTSIDE AV,POINT(37.743318199962 -122.467639386369)
140656442,VEHICLE_THEFT,STOLEN MOTORCYCLE,2014-12-29,TARAVAL,NONE,19TH AV / KIRKHAM ST,POINT(37.7598341069661 -122.476813745288)
140712072,LARCENY_THEFT,PETTY THEFT SHOPLIFTING,2014-12-29,TARAVAL,"ARREST, CITED",3200.0 Block of 20TH AV,POINT(37.7290910125835 -122.476011600296)
140649146,WARRANTS,WARRANT ARREST,2014-12-29,SOUTHERN,"ARREST, BOOKED",5THSTNORTH ST / MARKET ST,POINT(37.7839916768457 -122.408068345148)
140782376,NON_CRIMINAL,"AIDED CASE, MENTAL DISTURBED",2014-12-29,RICHMOND,PSYCHOPATHIC CASE,0.0 Block of PARAMOUNT TR,POINT(37.7764043089324 -122.455193122353)
146157862,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,SOUTHERN,NONE,BEALE ST / HARRISON ST,POINT(37.7874556183994 -122.391183405728)
140809801,ROBBERY,"ROBBERY, BODILY FORCE",2014-12-29,NORTHERN,NONE,LARKIN ST / ELLIS ST,POINT(37.7842362878183 -122.417710344726)
140687497,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,CENTRAL,NONE,500.0 Block of BEACH ST,POINT(37.8071029460288 -122.417296472239)
140706401,OTHER_OFFENSES,CONSPIRACY,2014-12-29,CENTRAL,"ARREST, BOOKED",WASHINGTON ST / DRUMM ST,POINT(37.7963478739739 -122.396962385547)
140640752,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",2014-12-29,MISSION,NONE,2100.0 Block of MISSION ST,POINT(37.7621409493271 -122.419432191589)
140652014,DRUG_NARCOTIC,POSSESSION OF COCAINE,2014-12-29,INGLESIDE,"ARREST, BOOKED",300.0 Block of COLLEGE AV,POINT(37.7341275962141 -122.423740561806)
146160423,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,NORTHERN,NONE,GEARY BL / STEINER ST,POINT(37.7841504916183 -122.4345637373)
140764879,RUNAWAY,RUNAWAY,2014-12-29,BAYVIEW,LOCATED,300.0 Block of HALE ST,POINT(37.7311085431525 -122.411527730725)
146178755,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,PARK,NONE,2600.0 Block of GEARY BL,POINT(37.7823643134787 -122.447204009307)
146153832,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,PARK,NONE,ASHBURY ST / PAGE ST,POINT(37.7709342643463 -122.447123741877)
140747568,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",2014-12-29,CENTRAL,NONE,1200.0 Block of GRANT AV,POINT(37.798195604525 -122.407051687197)
146198048,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,CENTRAL,NONE,500.0 Block of THE EMBARCADERONORTH ST,POINT(37.7990600196924 -122.397550815683)
140690791,VEHICLE_THEFT,STOLEN AUTOMOBILE,2014-12-29,INGLESIDE,NONE,200.0 Block of CRESCENT AV,POINT(37.7350108700935 -122.418591992956)
140667411,DRUG_NARCOTIC,POSSESSION OF MARIJUANA,2014-12-29,SOUTHERN,"ARREST, CITED",1000.0 Block of MARKET ST,POINT(37.7822344668014 -122.410348517531)
140655165,NON_CRIMINAL,LOST PROPERTY,2014-12-29,TARAVAL,NONE,2500.0 Block of MORAGA ST,POINT(37.7554161485694 -122.489751720862)
140828271,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,2014-12-29,NORTHERN,"ARREST, BOOKED",1500.0 Block of UNION ST,POINT(37.7984036709234 -122.42488157882)
140754171,VEHICLE_THEFT,STOLEN AUTOMOBILE,2014-12-29,NORTHERN,NONE,1000.0 Block of TURK ST,POINT(37.7812883524543 -122.42559745663)
140675157,OTHER_OFFENSES,VIOLATION OF MUNICIPAL CODE,2014-12-29,SOUTHERN,"ARREST, BOOKED",8TH ST / MISSION ST,POINT(37.7774566612104 -122.41316085097)
140788910,ASSAULT,BATTERY,2014-12-29,SOUTHERN,NONE,300.0 Block of KING ST,POINT(37.7753884276345 -122.395198108656)
140727338,LARCENY_THEFT,GRAND THEFT PICKPOCKET,2014-12-29,CENTRAL,NONE,BEACH ST / STOCKTON ST,POINT(37.8078911906523 -122.410690675854)
140747245,LARCENY_THEFT,PETTY THEFT FROM LOCKED AUTO,2014-12-29,BAYVIEW,NONE,1500.0 Block of QUESADA AV,POINT(37.7321343206102 -122.389254366089)
146191810,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",2014-12-29,BAYVIEW,NONE,22ND ST / 3RD ST,POINT(37.7579394232317 -122.388318045049)
146184241,LARCENY_THEFT,PETTY THEFT OF PROPERTY,2014-12-29,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(37.7752316978411 -122.403742962696)
146171602,LARCENY_THEFT,GRAND THEFT FROM LOCKED AUTO,2014-12-29,CENTRAL,NONE,0.0 Block of BAY ST,POINT(37.8066474069751 -122.405595152271)
140684879,LARCENY_THEFT,GRAND THEFT FROM A BUILDING,2014-12-29,TARAVAL,NONE,500.0 Block of JOHNMUIR DR,POINT(37.7131467406335 -122.490962926163)
146183607,LARCENY_THEFT,PETTY THEFT OF PROPERTY,2014-12-29,NORTHERN,NONE,FRANKLIN ST / TURK ST,POINT(37.7817528768178 -122.42227702764)
140761063,MISSING_PERSON,FOUND PERSON,2014-12-29,RICHMOND,LOCATED,700.0 Block of 33RD AV,POINT(37.7749590705605 -122.492929969784)
140689829,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,2014-12-29,SOUTHERN,"ARREST, BOOKED",0.0 Block of UNITEDNATIONS PZ,POINT(37.7798171172036 -122.414965642852)
140678361,ASSAULT,INFLICT INJURY ON COHABITEE,2014-12-29,INGLESIDE,"ARREST, BOOKED",900.0 Block of ELLSWORTH ST,POINT(37.7328878863463 -122.417143799004)
140782768,NON_CRIMINAL,"AIDED CASE, MENTAL DISTURBED",2014-12-29,MISSION,PSYCHOPATHIC CASE,2300.0 Block of MARKET ST,POINT(37.7631405694042 -122.434598319327)
140702807,LARCENY_THEFT,GRAND THEFT FROM PERSON,2014-12-29,SOUTHERN,NONE,0.0 Block of NEWMONTGOMERY ST,POINT(37.7883261264327 -122.401522121487)
140709819,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",2014-12-29,RICHMOND,NONE,600.0 Block of 10TH AV,POINT(37.7764873031154 -122.468115534042)
140780392,LARCENY_THEFT,PETTY THEFT SHOPLIFTING,2014-12-29,SOUTHERN,"ARREST, CITED",700.0 Block of MISSION ST,POINT(37.7846237669087 -122.403890223654)
140808182,DISORDERLY_CONDUCT,DISTURBING THE PEACE,2014-12-29,TENDERLOIN,NONE,500.0 Block of ELLIS ST,POINT(37.784570369827 -122.414854585517)
140792604,NON_CRIMINAL,"AIDED CASE, MENTAL DISTURBED",2014-12-29,NORTHERN,PSYCHOPATHIC CASE,1000.0 Block of POLK ST,POINT(37.7864946042671 -122.419905439145)
140682362,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,2014-12-29,MISSION,NONE,1000.0 Block of POTRERO AV,POINT(37.7568256145719 -122.406656623063)
140688376,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,2014-12-29,NORTHERN,NONE,POLK ST / ELLIS ST,POINT(37.7840280452329 -122.419366294797)
140682936,NON_CRIMINAL,LOST PROPERTY,2014-12-29,BAYVIEW,NONE,3RD ST / SHAFTER AV,POINT(37.7316450604822 -122.391800296943)
140813426,KIDNAPPING,CHILD STEALING,2014-12-29,TENDERLOIN,NONE,300.0 Block of EDDY ST,POINT(37.7838976374337 -122.412601261914)
146168637,LARCENY_THEFT,GRAND THEFT FROM UNLOCKED AUTO,2014-12-29,MISSION,NONE,CHURCH ST / 19TH ST,POINT(37.7596916918607 -122.428203997155)
146154062,LARCENY_THEFT,PETTY THEFT OF PROPERTY,2014-12-29,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(37.7752316978411 -122.403742962696)
140759773,MISSING_PERSON,FOUND PERSON,2014-12-29,NORTHERN,LOCATED,1300.0 Block of BUCHANAN ST,POINT(37.7819043266661 -122.429011430691)
140813379,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",2014-12-29,MISSION,NONE,2300.0 Block of MISSION ST,POINT(37.7590981917907 -122.419140230736)
146195458,LARCENY_THEFT,PETTY THEFT OF PROPERTY,2014-12-29,NORTHERN,NONE,100.0 Block of HAYES ST,POINT(37.7774374357923 -122.418894315551)
